"Year","Month","Day","Baseline","Cluster","Indicator","Attribute","Hazard Type","Hazard Response & Recovery","Climate Change","Past Hazard Events","Blue Economy","Agriculture","International Trade","Measure","Country","National","Province","Area Council","Village","Unit","Source","Year Collected","Frequency Collection","Value"
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu",,,,"number","Minsitry of Education and Training",2024,"Annually",10
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu",,,,"number","Minsitry of Education and Training",2024,"Annually",9
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu",,,,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Torba",,,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Torba",,,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Torba",,,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Sanma",,,"number","Minsitry of Education and Training",2024,"Annually",8
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Sanma",,,"number","Minsitry of Education and Training",2024,"Annually",7
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Sanma",,,"number","Minsitry of Education and Training",2024,"Annually",3
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Penama",,,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","primary",,,,,,,,,,"Vanuatu","Penama",,,"number","Minsitry of Education and Training",2024,"Annually",11
2024,,,"Education",,"Number Schools","secondary",,,,,,,,,,"Vanuatu","Penama",,,"number","Minsitry of Education and Training",2024,"Annually",2
2024,,,"Education",,"Number Schools","ecce",,,,,,,,,,"Vanuatu","Malampa",,,"number","Minsitry of Education and Training",2024,"Annually",5
