"National","Province","Area Council","Hazard","Intensity"
"Vanuatu","Malampa","Central Malekula","Cyclone",2
"Vanuatu","Malampa","North Ambrym","Cyclone",3
"Vanuatu","Malampa","North East Malekula","Cyclone",4
"Vanuatu","Malampa","North West Malekula","Cyclone",2
"Vanuatu","Malampa","Paama","Cyclone",2
"Vanuatu","Malampa","South East Ambrym","Cyclone",4
"Vanuatu","Malampa","South East Malekula","Cyclone",4
"Vanuatu","Malampa","South Malekula","Cyclone",4
"Vanuatu","Malampa","South West Malekula","Cyclone",4
"Vanuatu","Malampa","West Ambrym","Cyclone",4
"Vanuatu","Shefa","Emau","Cyclone",2
"Vanuatu","Shefa","Erakor","Cyclone",2
"Vanuatu","Shefa","Eratap","Cyclone",4
"Vanuatu","Shefa","Eton","Cyclone",4
"Vanuatu","Shefa","Ifira","Cyclone",4
"Vanuatu","Shefa","Makimae","Cyclone",3
"Vanuatu","Shefa","Malorua","Cyclone",2
"Vanuatu","Shefa","Mele","Cyclone",3
"Vanuatu","Shefa","Nguna","Cyclone",2
"Vanuatu","Shefa","North Efate","Cyclone",3
"Vanuatu","Shefa","North Tongoa","Cyclone",2
"Vanuatu","Shefa","Pango","Cyclone",4
"Vanuatu","Shefa","Port Vila","Cyclone",2
"Vanuatu","Shefa","South Epi","Cyclone",4
"Vanuatu","Shefa","Tanvasoko","Cyclone",3
"Vanuatu","Shefa","Tongariki","Cyclone",4
"Vanuatu","Shefa","Varisu","Cyclone",4
"Vanuatu","Shefa","Vermali","Cyclone",3
"Vanuatu","Shefa","Vermaul","Cyclone",3
"Vanuatu","Tafea","Aneityum","Cyclone",3
"Vanuatu","Tafea","Aniwa","Cyclone",4
"Vanuatu","Tafea","Futuna","Cyclone",2
"Vanuatu","Tafea","Middle Bush Tanna","Cyclone",3
"Vanuatu","Tafea","North Erromango","Cyclone",3
"Vanuatu","Tafea","North Tanna","Cyclone",3
"Vanuatu","Tafea","South Erromango","Cyclone",2
"Vanuatu","Tafea","South Tanna","Cyclone",3
"Vanuatu","Tafea","South West Tanna","Cyclone",2
"Vanuatu","Tafea","West Tanna","Cyclone",4
"Vanuatu","Tafea","Whitesands","Cyclone",3
