"Year","Cluster","Indicator","Attribute","Value","Province","Area Council"
2025,"Education","Number Schools","ecce",3500000,"Torba","Torres"
2025,"Education","Number Schools","ecce",3500000,"Torba","Ureparapara"
2025,"Education","Number Schools","ecce",3500000,"Torba","Motalava"
2025,"Education","Number Schools","ecce",3500000,"Torba","East Vanualava"
2025,"Education","Number Schools","ecce",3500000,"Torba","West Vanualava"
2025,"Education","Number Schools","ecce",3500000,"Torba","Mota"
2025,"Education","Number Schools","ecce",3500000,"Torba","East Gaua"
2025,"Education","Number Schools","ecce",3500000,"Torba","West Gaua"
2025,"Education","Number Schools","ecce",3500000,"Torba","Merelava"
2025,"Education","Number Schools","ecce",3500000,"Sanma","Luganville"
2025,"Education","Number Schools","ecce",3500000,"Sanma","North West Santo"
2025,"Education","Number Schools","ecce",3500000,"Sanma","Big Bay Coast"
2025,"Education","Number Schools","ecce",3500000,"Sanma","Big Bay Inland"
2025,"Education","Number Schools","ecce",3500000,"Sanma","West Santo"
2025,"Education","Number Schools","ecce",3500000,"Sanma","South Santo 1"
2025,"Education","Number Schools","ecce",3500000,"Sanma","South Santo 2"
2025,"Education","Number Schools","ecce",3500000,"Sanma","East Santo"
2025,"Education","Number Schools","ecce",3500000,"Sanma","South East Santo"
2025,"Education","Number Schools","ecce",3500000,"Sanma","Canal Fanafo"
2025,"Education","Number Schools","ecce",3500000,"Sanma","West Malo"
2025,"Education","Number Schools","ecce",3500000,"Sanma","East Malo"
2025,"Education","Number Schools","ecce",3500000,"Penama","West Ambae"
2025,"Education","Number Schools","ecce",3500000,"Penama","North Ambae"
2025,"Education","Number Schools","ecce",3500000,"Penama","East Ambae"
2025,"Education","Number Schools","ecce",3500000,"Penama","South Ambae"
2025,"Education","Number Schools","ecce",3500000,"Penama","North Maewo"
2025,"Education","Number Schools","ecce",3500000,"Penama","South Maewo"
2025,"Education","Number Schools","ecce",3500000,"Penama","North Pentecost"
2025,"Education","Number Schools","ecce",3500000,"Penama","Central Pentecost 1"
2025,"Education","Number Schools","ecce",3500000,"Penama","Central Pentecost 2"
2025,"Education","Number Schools","ecce",3500000,"Penama","South Pentecost"
2025,"Education","Number Schools","ecce",3500000,"Malampa","North West Malekula"
2025,"Education","Number Schools","ecce",3500000,"Malampa","North East Malekula"
2025,"Education","Number Schools","ecce",3500000,"Malampa","Central Malekula"
2025,"Education","Number Schools","ecce",3500000,"Malampa","South West Malekula"
