"Region","total_businesses","industry_transportation","industry_accommodation and food","industry_administrative services","industry_wholesale and retail trade","industry_agriculture, forestry and fishing","industry_construction","industry_manufacturing","industry_arts and entertainment","industry_mining and quarrying","industry_real estate","industry_scientific and technical","industry_financial and insurance","industry_education","industry_information and communication","industry_other services","industry_water supply and waste management","industry_health and social work","industry_electricity and gas"
"National",2974,200,369,141,688,288,231,170,86,12,86,113,86,115,58,229,30,58,14
"Torba",132,14,32,0,64,7,7,6,0,0,2,0,0,0,0,0,0,0,0
"Torres",15,2,5,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Ureparapara",15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Motalava",11,2,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0
"East Vanualava",28,2,4,0,8,7,2,3,0,0,2,0,0,0,0,0,0,0,0
"Mota",30,5,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Gaua",23,3,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merelava",10,0,4,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sanma",757,50,107,24,165,105,39,48,26,4,21,34,23,36,10,34,10,16,5
"Luganville",402,27,39,11,71,42,22,17,16,4,10,21,16,32,10,34,9,16,5
"North West Santo",22,3,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Big Bay Coast",10,1,0,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"Big Bay Inland",26,3,0,0,12,8,0,3,0,0,0,0,0,0,0,0,0,0,0
"West Santo",32,1,11,2,8,7,0,3,0,0,0,0,0,0,0,0,0,0,0
"South Santo 1",20,1,6,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0
"South Santo 2",35,2,10,3,5,7,3,2,3,0,0,0,0,0,0,0,0,0,0
"East Santo",50,1,8,4,7,6,5,3,2,0,5,4,5,0,0,0,0,0,0
"South East Santo",46,4,5,2,6,5,5,2,2,0,4,4,2,4,0,0,1,0,0
"Canal Fanafo",58,3,12,2,16,13,0,2,3,0,2,5,0,0,0,0,0,0,0
"West Malo",23,1,5,0,9,4,2,2,0,0,0,0,0,0,0,0,0,0,0
"East Malo",33,3,11,0,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0
"Penama",133,12,16,7,44,21,2,26,1,0,0,1,3,0,0,0,0,0,0
"West Ambae",6,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"East Ambae",9,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"North Maewo",70,5,9,0,30,17,0,9,0,0,0,0,0,0,0,0,0,0,0
"North Pentecost",6,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Central Pentecost 1",8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Central Pentecost 2",13,0,4,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"South Pentecost",21,1,3,1,5,4,2,1,1,0,0,1,2,0,0,0,0,0,0
"Malampa",12,1,2,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0
"Central Malekula",12,1,2,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0
"Shefa",1745,99,176,92,367,136,156,74,52,8,61,77,59,78,47,192,20,42,9
"Port Vila",1132,60,78,67,226,74,102,35,44,8,36,56,36,62,39,157,16,28,8
"Vermali",26,2,4,2,8,0,5,2,0,0,0,0,1,2,0,0,0,0,0
"Vermaul",50,3,11,3,11,7,10,3,0,0,0,0,2,0,0,0,0,0,0
"Varisu",52,6,12,0,12,18,0,4,0,0,0,0,0,0,0,0,0,0,0
"South Epi",26,2,7,0,10,0,0,3,0,0,4,0,0,0,0,0,0,0,0
"North Tongoa",10,1,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
