"Region","total_schools","total_students","total_teachers","ecce_schools","primary_schools","secondary_schools","ecce_teachers","primary_teachers","secondary_teachers","ecce_students","primary_students","secondary_students"
"National",1863,86249,5100,931,708,224,920,2806,1374,10351,53473,22425
"Torba",148,6901,458,76,52,20,92,338,28,898,4754,1249
"Torres",13,721,33,5,6,2,6,17,10,90,477,154
"Ureparapara",16,457,38,8,6,2,13,25,0,119,338,0
"Motalava",14,788,47,8,5,1,6,33,8,133,389,266
"West Vanualava",13,653,36,4,6,3,6,30,0,63,590,0
"East Vanualava",10,500,38,5,4,1,7,21,10,51,199,250
"Mota",23,950,56,13,8,2,13,43,0,112,838,0
"East Gaua",25,1719,106,14,6,5,11,95,0,282,858,579
"West Gaua",24,753,70,13,8,3,21,49,0,0,753,0
"Merelava",10,360,34,6,3,1,9,25,0,48,312,0
"Sanma",420,15828,952,229,149,42,175,519,258,2083,9315,4430
"Luganville",169,4274,308,91,67,11,51,161,96,806,2277,1191
"North West Santo",46,1895,112,25,16,5,12,74,26,257,726,912
"Big Bay Coast",8,362,17,4,3,1,4,13,0,65,297,0
"Big Bay Inland",26,1185,70,11,9,6,20,33,17,141,526,518
"West Santo",35,717,39,20,12,3,15,24,0,92,625,0
"South Santo 1",12,864,49,5,5,2,11,22,16,70,661,133
"South Santo 2",14,741,37,7,5,2,10,18,9,78,465,198
"East Santo",23,1185,68,16,5,2,11,25,32,84,641,460
"South East Santo",16,873,89,9,5,2,7,52,30,120,421,332
"Canal Fanafo",27,2066,67,15,9,3,16,34,17,176,1555,335
"West Malo",11,512,20,6,4,1,6,14,0,61,451,0
"East Malo",33,1154,76,20,9,4,12,49,15,133,670,351
"Penama",212,8815,610,117,66,29,110,343,157,1222,4952,2641
"West Ambae",5,269,18,2,2,1,5,9,4,45,110,114
"North Ambae",11,531,44,6,3,2,8,16,20,71,223,237
"East Ambae",14,1005,79,8,4,2,11,43,25,105,435,465
"South Ambae",37,783,113,24,9,4,24,89,0,222,561,0
"North Maewo",35,1531,83,17,11,7,13,33,37,103,1109,319
"South Maewo",20,876,43,9,7,4,8,35,0,199,450,227
"North Pentecost",14,1015,55,6,6,2,6,29,20,93,544,378
"Central Pentecost 1",53,2205,107,33,15,5,22,47,38,283,1134,788
"Central Pentecost 2",14,391,39,6,7,1,9,17,13,77,201,113
"South Pentecost",9,209,29,6,2,1,4,25,0,24,185,0
"Malampa",198,11085,711,98,73,27,120,355,236,1286,6216,3583
"North West Malekula",13,1032,52,6,5,2,8,27,17,110,708,214
"North East Malekula",22,1243,74,11,8,3,11,38,25,188,604,451
"Central Malekula",5,273,14,3,2,0,4,7,3,30,159,84
"South West Malekula",9,417,40,4,4,1,11,16,13,49,237,131
"South East Malekula",31,2047,93,14,11,6,21,42,30,195,1227,625
"South Malekula",19,828,51,8,8,3,12,17,22,101,404,323
"North Ambrym",20,1499,57,11,6,3,8,28,21,116,976,407
"West Ambrym",23,746,94,14,7,2,16,54,24,151,372,223
"South East Ambrym",26,1469,115,14,8,4,16,60,39,213,716,540
"Paama",30,1531,121,13,14,3,13,66,42,133,813,585
"Shefa",684,33187,1673,302,298,84,306,874,493,3689,21266,8232
"Port Vila",399,19486,865,171,187,41,154,391,320,1849,13103,4534
"Vermali",17,703,81,7,8,2,10,59,12,125,307,271
"Vermaul",21,1135,73,8,10,3,10,38,25,76,611,448
"Varisu",27,1178,62,11,12,4,24,38,0,318,860,0
"South Epi",29,1271,70,17,9,3,9,43,18,114,714,443
"North Tongoa",6,288,20,2,3,1,4,12,4,60,116,112
"Tongariki",23,739,22,9,11,3,5,17,0,182,557,0
"Makimae",10,611,23,4,4,2,5,11,7,61,335,215
"Nguna",20,1124,57,10,7,3,10,31,16,79,773,272
"Emau",14,479,36,6,5,3,14,22,0,141,338,0
"Malorua",4,255,15,1,2,1,2,6,7,27,153,75
"North Efate",15,682,43,5,8,2,9,26,8,95,384,203
"Mele",11,591,27,6,4,1,8,19,0,80,384,127
"Tanvasoko",5,271,3,2,2,1,3,0,0,20,150,101
"Ifira",18,1081,55,9,6,3,0,37,18,0,558,523
"Pango",11,1039,72,5,5,1,12,41,19,109,589,341
"Erakor",14,508,39,8,4,2,6,23,10,100,209,199
"Eratap",24,791,69,13,7,4,13,40,16,125,482,184
"Eton",16,955,41,8,4,4,8,20,13,128,643,184
"Tafea",201,10433,696,109,70,22,117,377,202,1173,6970,2290
"North Erromango",27,1572,84,12,12,3,20,33,31,191,864,517
"South Erromango",10,613,37,7,2,1,8,17,12,78,342,193
"Aniwa",27,1320,92,17,8,2,16,76,0,152,1168,0
"North Tanna",6,240,22,3,2,1,5,9,8,55,102,83
"West Tanna",7,283,20,4,2,1,3,11,6,24,155,104
"Middle Bush Tanna",8,368,39,2,5,1,5,21,13,42,217,109
"South West Tanna",32,1500,113,20,9,3,22,55,36,162,1110,228
"Whitesands",20,1526,109,10,8,2,10,60,39,139,1039,348
"South Tanna",22,581,67,12,7,3,11,30,26,94,305,182
"Futuna",29,1444,70,16,10,3,11,42,17,159,979,306
"Aneityum",13,986,43,6,5,2,6,23,14,77,689,220
