"Region","total_schools_damaged","total_students_affected","ecce_schools_damaged","primary_schools_damaged","secondary_schools_damaged","ecce_students_affected","primary_students_affected","secondary_students_affected"
"National",255,13250,126,98,31,1609,8115,3526
"Malampa",76,4033,38,27,11,504,2192,1337
"North West Malekula",1,103,1,0,0,11,71,21
"North East Malekula",12,622,6,4,2,94,302,226
"Central Malekula",0,27,0,0,0,3,16,8
"South West Malekula",4,208,2,2,0,24,118,66
"South East Malekula",16,1024,7,6,3,98,614,312
"South Malekula",10,414,4,4,2,50,202,162
"North Ambrym",6,375,3,2,1,29,244,102
"West Ambrym",12,374,7,4,1,76,186,112
"South East Ambrym",13,734,7,4,2,106,358,270
"Paama",2,152,1,1,0,13,81,58
"Shefa",134,6740,62,55,17,827,4214,1699
"Port Vila",40,1948,17,19,4,185,1310,453
"Vermali",4,176,2,2,0,31,77,68
"Vermaul",5,284,2,2,1,19,153,112
"Varisu",14,589,6,6,2,159,430,0
"South Epi",14,636,8,4,2,57,357,222
"North Tongoa",0,29,0,0,0,6,12,11
"Tongariki",12,369,4,6,2,91,278,0
"Makimae",2,153,1,1,0,15,84,54
"Nguna",2,112,1,1,0,8,77,27
"Emau",1,48,1,0,0,14,34,0
"Malorua",0,26,0,0,0,3,15,8
"North Efate",3,171,1,2,0,24,96,51
"Mele",3,148,2,1,0,20,96,32
"Tanvasoko",0,68,0,0,0,5,38,25
"Ifira",9,541,4,3,2,0,279,262
"Pango",4,518,2,2,0,54,294,170
"Erakor",1,51,1,0,0,10,21,20
"Eratap",12,395,6,4,2,62,241,92
"Eton",8,478,4,2,2,64,322,92
"Tafea",45,2477,26,16,3,278,1709,490
"North Erromango",7,393,3,3,1,48,216,129
"South Erromango",1,61,1,0,0,8,34,19
"Aniwa",13,660,8,4,1,76,584,0
"North Tanna",1,61,1,0,0,14,26,21
"West Tanna",3,142,2,1,0,12,78,52
"Middle Bush Tanna",1,91,0,1,0,10,54,27
"South West Tanna",3,150,2,1,0,16,111,23
"Whitesands",4,382,2,2,0,35,260,87
"South Tanna",6,146,3,2,1,24,76,46
"Futuna",3,145,2,1,0,16,98,31
"Aneityum",3,246,2,1,0,19,172,55
