"Region","ecce_tents","primary_tents","secondary_tents","total_tents","ecce_solar_lamps","primary_solar_lamps","secondary_solar_lamps","total_solar_lamps","ecce_water","primary_water","secondary_water","total_water","ecce_tin_fish","primary_tin_fish","secondary_tin_fish","total_tin_fish"
"National",126,98,31,255,255,199,70,524,67629,340798,148014,556441,11271,56796,24664,92731
"Malampa",38,27,11,76,76,53,22,151,21202,92065,56136,169403,3534,15344,9355,28233
"North West Malekula",1,0,0,1,1,1,0,2,462,2974,899,4335,77,496,150,723
"North East Malekula",6,4,2,12,11,8,3,22,3948,12684,9471,26103,658,2114,1578,4350
"Central Malekula",0,0,0,0,1,0,0,1,126,668,353,1147,21,111,59,191
"South West Malekula",2,2,0,4,4,4,1,9,1029,4977,2751,8757,172,830,458,1460
"South East Malekula",7,6,3,16,14,11,6,31,4095,25767,13125,42987,682,4294,2188,7164
"South Malekula",4,4,2,10,8,8,3,19,2121,8484,6783,17388,354,1414,1130,2898
"North Ambrym",3,2,1,6,6,3,2,11,1218,10248,4274,15740,203,1708,712,2623
"West Ambrym",7,4,1,12,14,7,2,23,3171,7812,4683,15666,528,1302,780,2610
"South East Ambrym",7,4,2,13,14,8,4,26,4473,15036,11340,30849,746,2506,1890,5142
"Paama",1,1,0,2,3,3,1,7,559,3415,2457,6431,93,569,410,1072
"Shefa",62,55,17,134,127,113,37,277,34773,176969,71318,283060,5796,29493,11883,47172
"Port Vila",17,19,4,40,34,37,8,79,7766,55033,19043,81842,1294,9172,3174,13640
"Vermali",2,2,0,4,4,4,1,9,1313,3224,2846,7383,219,537,474,1230
"Vermaul",2,2,1,5,4,5,2,11,798,6416,4704,11918,133,1069,784,1986
"Varisu",6,6,2,14,11,12,4,27,6678,18060,0,24738,1113,3010,0,4123
"South Epi",8,4,2,14,17,9,3,29,2394,14994,9303,26691,399,2499,1550,4448
"North Tongoa",0,0,0,0,0,1,0,1,252,488,471,1211,42,81,78,201
"Tongariki",4,6,2,12,9,11,3,23,3822,11697,0,15519,637,1950,0,2587
"Makimae",1,1,0,2,2,2,1,5,641,3518,2258,6417,107,586,376,1069
"Nguna",1,1,0,2,2,1,1,4,332,3247,1143,4722,55,541,190,786
"Emau",1,0,0,1,1,1,1,3,593,1420,0,2013,99,237,0,336
"Malorua",0,0,0,0,0,0,0,0,114,643,315,1072,19,107,52,178
"North Efate",1,2,0,3,2,4,1,7,998,4032,2132,7162,166,672,355,1193
"Mele",2,1,0,3,3,2,0,5,840,4032,1334,6206,140,672,222,1034
"Tanvasoko",0,0,0,0,1,1,0,2,210,1575,1061,2846,35,262,177,474
"Ifira",4,3,2,9,9,6,3,18,0,11718,10983,22701,0,1953,1830,3783
"Pango",2,2,0,4,5,5,1,11,2289,12369,7161,21819,382,2062,1194,3638
"Erakor",1,0,0,1,2,1,0,3,420,878,836,2134,70,146,139,355
"Eratap",6,4,2,12,13,7,4,24,2625,10122,3864,16611,438,1687,644,2769
"Eton",4,2,2,8,8,4,4,16,2688,13503,3864,20055,448,2250,644,3342
"Tafea",26,16,3,45,52,33,11,96,11654,71764,20560,103978,1941,11959,3426,17326
"North Erromango",3,3,1,7,6,6,2,14,2006,9072,5429,16507,334,1512,905,2751
"South Erromango",1,0,0,1,1,0,0,1,328,1437,811,2576,55,239,135,429
"Aniwa",8,4,1,13,17,8,2,27,3192,24528,0,27720,532,4088,0,4620
"North Tanna",1,0,0,1,2,1,0,3,578,1071,872,2521,96,178,145,419
"West Tanna",2,1,0,3,4,2,1,7,504,3255,2184,5943,84,542,364,990
"Middle Bush Tanna",0,1,0,1,1,2,0,3,441,2279,1145,3865,74,380,191,645
"South West Tanna",2,1,0,3,4,2,1,7,681,4662,958,6301,113,777,160,1050
"Whitesands",2,2,0,4,5,4,1,10,1460,10910,3654,16024,243,1818,609,2670
"South Tanna",3,2,1,6,6,4,2,12,987,3203,1911,6101,164,534,318,1016
"Futuna",2,1,0,3,3,2,1,6,668,4112,1286,6066,111,685,214,1010
"Aneityum",2,1,0,3,3,2,1,6,809,7235,2310,10354,135,1206,385,1726
