"Region","ecce_financial_damage","primary_financial_damage","secondary_financial_damage","total_financial_damage"
"National",445550000,8.02e+08,6.96e+08,1943550000
"Malampa",131075000,212800000,2.15e+08,558875000
"North West Malekula",2100000,4e+06,4e+06,10100000
"North East Malekula",19250000,3.2e+07,3e+07,81250000
"Central Malekula",1050000,1600000,0,2650000
"South West Malekula",7e+06,1.6e+07,1e+07,3.3e+07
"South East Malekula",24500000,4.4e+07,6e+07,128500000
"South Malekula",1.4e+07,3.2e+07,3e+07,7.6e+07
"North Ambrym",9625000,1.2e+07,1.5e+07,36625000
"West Ambrym",24500000,2.8e+07,2e+07,72500000
"South East Ambrym",24500000,3.2e+07,4e+07,96500000
"Paama",4550000,11200000,6e+06,21750000
"Shefa",223300000,454400000,3.77e+08,1054700000
"Port Vila",59850000,149600000,8.2e+07,291450000
"Vermali",6125000,1.6e+07,1e+07,32125000
"Vermaul",7e+06,2e+07,1.5e+07,4.2e+07
"Varisu",19250000,4.8e+07,4e+07,107250000
"South Epi",29750000,3.6e+07,3e+07,95750000
"North Tongoa",7e+05,2400000,2e+06,5100000
"Tongariki",15750000,4.4e+07,3e+07,89750000
"Makimae",3500000,8e+06,1e+07,21500000
"Nguna",3500000,5600000,6e+06,15100000
"Emau",2100000,4e+06,6e+06,12100000
"Malorua",350000,1600000,2e+06,3950000
"North Efate",4375000,1.6e+07,1e+07,30375000
"Mele",5250000,8e+06,5e+06,18250000
"Tanvasoko",1750000,4e+06,5e+06,10750000
"Ifira",15750000,2.4e+07,3e+07,69750000
"Pango",8750000,2e+07,1e+07,38750000
"Erakor",2800000,3200000,4e+06,1e+07
"Eratap",22750000,2.8e+07,4e+07,90750000
"Eton",1.4e+07,1.6e+07,4e+07,7e+07
"Tafea",91175000,134800000,1.04e+08,329975000
"North Erromango",10500000,2.4e+07,1.5e+07,49500000
"South Erromango",2450000,1600000,2e+06,6050000
"Aniwa",29750000,3.2e+07,2e+07,81750000
"North Tanna",2625000,4e+06,5e+06,11625000
"West Tanna",7e+06,8e+06,1e+07,2.5e+07
"Middle Bush Tanna",1750000,1e+07,5e+06,16750000
"South West Tanna",7e+06,7200000,6e+06,20200000
"Whitesands",8750000,1.6e+07,1e+07,34750000
"South Tanna",10500000,1.4e+07,1.5e+07,39500000
"Futuna",5600000,8e+06,6e+06,19600000
"Aneityum",5250000,1e+07,1e+07,25250000
