"Region","total_households","elec_battery lamp","elec_generator","elec_main grid","elec_no access","elec_solar system","cook_bottle gas","cook_open fire","cook_solar power","cook_electricity","cook_wood stove"
"National",64485,18799,2501,19840,7526,13767,11161,36182,620,2479,11779
"Torba",6097,1641,194,361,692,1045,347,2656,50,72,182
"Torres",397,128,0,0,76,92,0,132,5,40,97
"Ureparapara",775,223,32,0,115,104,0,439,8,0,0
"Motalava",555,109,26,0,40,110,0,312,3,0,0
"West Vanualava",587,259,19,0,61,87,0,266,5,0,0
"East Vanualava",513,120,18,361,31,119,124,153,5,32,85
"Mota",610,197,31,0,118,110,0,328,11,0,0
"East Gaua",1207,266,46,0,112,187,223,624,9,0,0
"West Gaua",1221,200,22,0,89,129,0,220,0,0,0
"Merelava",232,139,0,0,50,107,0,182,4,0,0
"Sanma",11792,3362,491,3905,1866,2234,2176,5844,135,595,2836
"Luganville",3299,1311,136,2194,1035,841,911,1983,68,230,1000
"North West Santo",1866,406,47,0,102,190,0,839,10,93,277
"Big Bay Coast",361,76,16,0,30,75,51,135,3,0,65
"Big Bay Inland",557,256,0,0,117,104,0,219,4,0,233
"West Santo",680,149,39,0,83,115,0,324,9,0,218
"South Santo 1",483,180,30,0,48,69,108,241,4,22,118
"South Santo 2",554,209,37,0,50,102,294,442,3,77,149
"East Santo",1182,171,32,438,119,103,165,244,11,51,204
"South East Santo",737,191,36,314,73,151,134,267,6,41,133
"Canal Fanafo",1145,181,45,675,84,281,264,557,6,81,186
"West Malo",271,109,17,284,40,86,129,169,4,0,81
"East Malo",657,123,56,0,85,117,120,424,7,0,172
"Penama",7710,2156,334,1044,832,1544,1322,4032,83,69,2014
"West Ambae",155,55,18,0,15,43,81,174,2,13,81
"North Ambae",724,112,21,0,70,62,93,195,10,0,229
"East Ambae",433,193,28,501,92,148,195,277,7,56,144
"South Ambae",1603,390,65,0,106,297,0,655,16,0,403
"North Maewo",1449,318,52,0,98,303,169,823,21,0,224
"South Maewo",540,232,0,543,89,144,171,233,8,0,131
"North Pentecost",527,94,21,0,48,110,103,371,3,0,145
"Central Pentecost 1",1411,557,94,0,196,281,322,964,10,0,539
"Central Pentecost 2",584,137,17,0,64,92,127,205,4,0,68
"South Pentecost",284,68,18,0,54,64,61,135,2,0,50
"Malampa",8007,2413,394,2478,952,1871,1799,4219,71,222,1563
"North West Malekula",348,132,0,0,91,160,125,402,7,0,223
"North East Malekula",849,264,43,364,90,181,300,460,5,74,124
"Central Malekula",170,79,8,86,26,28,23,83,2,11,46
"South West Malekula",412,117,0,384,63,132,89,165,6,0,134
"South East Malekula",1079,354,65,811,89,221,237,819,12,70,357
"South Malekula",836,247,41,0,45,183,156,340,5,0,141
"North Ambrym",1029,135,29,0,83,139,138,183,4,67,132
"West Ambrym",787,363,31,0,59,251,244,364,5,0,180
"South East Ambrym",842,346,96,0,143,157,264,681,12,0,226
"Paama",1655,376,81,833,263,419,223,722,13,0,0
"Shefa",22557,6765,768,11908,2399,5634,4247,15517,211,1503,4662
"Port Vila",11736,3859,359,7538,1260,3436,2207,10006,120,957,1923
"Vermali",981,104,26,529,61,141,127,319,6,57,180
"Vermaul",1096,0,43,596,81,196,216,418,10,52,143
"Varisu",845,411,58,0,207,285,0,767,10,0,366
"South Epi",794,228,37,0,79,100,209,479,6,53,282
"North Tongoa",188,98,0,0,44,75,42,177,3,0,105
"Tongariki",641,197,0,325,64,89,0,313,4,0,94
"Makimae",379,91,0,0,0,58,0,253,4,0,0
"Nguna",748,245,57,0,58,117,173,379,4,0,271
"Emau",571,112,44,0,71,137,139,323,5,0,155
"Malorua",144,40,0,137,26,24,50,40,1,17,34
"North Efate",563,225,21,162,34,96,48,344,3,40,189
"Mele",442,129,37,265,31,98,117,250,4,27,72
"Tanvasoko",96,46,8,126,17,53,40,99,2,13,68
"Ifira",1030,181,0,737,79,107,349,327,6,68,178
"Pango",676,239,0,273,68,141,172,245,5,50,102
"Erakor",389,126,16,251,49,160,85,200,4,23,182
"Eratap",723,261,36,448,71,214,140,354,7,59,125
"Eton",515,173,26,521,99,107,133,224,7,87,193
"Tafea",8322,2462,320,144,785,1439,1270,3914,70,18,522
"North Erromango",1650,351,45,0,189,233,208,714,11,0,229
"South Erromango",478,167,25,0,91,92,0,370,6,0,112
"Aniwa",1495,417,63,0,100,240,0,415,12,0,0
"North Tanna",197,90,8,0,12,39,0,86,2,0,39
"West Tanna",186,56,12,144,24,36,75,125,2,18,47
"Middle Bush Tanna",202,123,18,0,42,53,115,190,1,0,95
"South West Tanna",1185,252,59,0,135,215,350,449,11,0,0
"Whitesands",1573,327,51,0,87,217,374,326,9,0,0
"South Tanna",321,184,0,0,46,98,148,332,4,0,0
"Futuna",762,269,0,0,0,130,0,532,8,0,0
"Aneityum",273,226,39,0,59,86,0,375,4,0,0
