"Region","total_households_affected","elec_battery lamp_damaged","elec_generator_damaged","elec_main grid_damaged","elec_no access_damaged","elec_solar system_damaged","cook_bottle gas_damaged","cook_open fire_damaged","cook_solar power_damaged","cook_electricity_damaged","cook_wood stove_damaged"
"National",38886,3010.25,400.15,3307.5,1036.9,2098.05,1908.45,5379.55,86.4,404.3,1866.35
"Malampa",8007,937.95,154.15,871.4,303.25,657.95,716.6,1580.95,25.7,89.85,640.9
"North West Malekula",348,13.2,0,0,9.1,16,12.5,40.2,0.7,0,22.3
"North East Malekula",849,132,21.5,182,45,90.5,150,230,2.5,37,62
"Central Malekula",170,7.9,0.8,8.6,2.6,2.8,2.3,8.3,0.2,1.1,4.6
"South West Malekula",412,58.5,0,192,31.5,66,44.5,82.5,3,0,67
"South East Malekula",1079,177,32.5,405.5,44.5,110.5,118.5,409.5,6,35,178.5
"South Malekula",836,123.5,20.5,0,22.5,91.5,78,170,2.5,0,70.5
"North Ambrym",1029,33.75,7.25,0,20.75,34.75,34.5,45.75,1,16.75,33
"West Ambrym",787,181.5,15.5,0,29.5,125.5,122,182,2.5,0,90
"South East Ambrym",842,173,48,0,71.5,78.5,132,340.5,6,0,113
"Paama",1655,37.6,8.1,83.3,26.3,41.9,22.3,72.2,1.3,0,0
"Shefa",22557,1441.75,159.85,2364.1,540.3,1076.9,908.1,2887.75,43.45,305.45,1100
"Port Vila",11736,385.9,35.9,753.8,126,343.6,220.7,1000.6,12,95.7,192.3
"Vermali",981,26,6.5,132.25,15.25,35.25,31.75,79.75,1.5,14.25,45
"Vermaul",1096,0,10.75,149,20.25,49,54,104.5,2.5,13,35.75
"Varisu",845,205.5,29,0,103.5,142.5,0,383.5,5,0,183
"South Epi",794,114,18.5,0,39.5,50,104.5,239.5,3,26.5,141
"North Tongoa",188,9.8,0,0,4.4,7.5,4.2,17.7,0.3,0,10.5
"Tongariki",641,98.5,0,162.5,32,44.5,0,156.5,2,0,47
"Makimae",379,22.75,0,0,0,14.5,0,63.25,1,0,0
"Nguna",748,24.5,5.7,0,5.8,11.7,17.3,37.9,0.4,0,27.1
"Emau",571,11.2,4.4,0,7.1,13.7,13.9,32.3,0.5,0,15.5
"Malorua",144,4,0,13.7,2.6,2.4,5,4,0.1,1.7,3.4
"North Efate",563,56.25,5.25,40.5,8.5,24,12,86,0.75,10,47.25
"Mele",442,32.25,9.25,66.25,7.75,24.5,29.25,62.5,1,6.75,18
"Tanvasoko",96,11.5,2,31.5,4.25,13.25,10,24.75,0.5,3.25,17
"Ifira",1030,90.5,0,368.5,39.5,53.5,174.5,163.5,3,34,89
"Pango",676,119.5,0,136.5,34,70.5,86,122.5,2.5,25,51
"Erakor",389,12.6,1.6,25.1,4.9,16,8.5,20,0.4,2.3,18.2
"Eratap",723,130.5,18,224,35.5,107,70,177,3.5,29.5,62.5
"Eton",515,86.5,13,260.5,49.5,53.5,66.5,112,3.5,43.5,96.5
"Tafea",8322,630.55,86.15,72,193.35,363.2,283.75,910.85,17.25,9,125.45
"North Erromango",1650,87.75,11.25,0,47.25,58.25,52,178.5,2.75,0,57.25
"South Erromango",478,16.7,2.5,0,9.1,9.2,0,37,0.6,0,11.2
"Aniwa",1495,208.5,31.5,0,50,120,0,207.5,6,0,0
"North Tanna",197,22.5,2,0,3,9.75,0,21.5,0.5,0,9.75
"West Tanna",186,28,6,72,12,18,37.5,62.5,1,9,23.5
"Middle Bush Tanna",202,30.75,4.5,0,10.5,13.25,28.75,47.5,0.25,0,23.75
"South West Tanna",1185,25.2,5.9,0,13.5,21.5,35,44.9,1.1,0,0
"Whitesands",1573,81.75,12.75,0,21.75,54.25,93.5,81.5,2.25,0,0
"South Tanna",321,46,0,0,11.5,24.5,37,83,1,0,0
"Futuna",762,26.9,0,0,0,13,0,53.2,0.8,0,0
"Aneityum",273,56.5,9.75,0,14.75,21.5,0,93.75,1,0,0
