"solar_lamp","low_voltage_poles_support","high_voltage_pole_support","power_line_cable","Region"
9849,153,40,97165,"National"
2924,0,0,0,"Malampa"
38,0,0,0,"North West Malekula"
471,0,0,0,"North East Malekula"
23,0,0,0,"Central Malekula"
348,0,0,0,"South West Malekula"
770,0,0,0,"South East Malekula"
258,0,0,0,"South Malekula"
96,0,0,0,"North Ambrym"
352,0,0,0,"West Ambrym"
371,0,0,0,"South East Ambrym"
197,0,0,0,"Paama"
5581,153,40,97165,"Shefa"
1645,50,16,33010,"Port Vila"
215,0,0,0,"Vermali"
229,0,0,0,"Vermaul"
480,0,0,0,"Varisu"
222,0,0,0,"South Epi"
22,0,0,0,"North Tongoa"
338,0,0,0,"Tongariki"
37,0,0,0,"Makimae"
48,0,0,0,"Nguna"
36,0,0,0,"Emau"
23,1,0,610,"Malorua"
134,7,1,4225,"North Efate"
140,9,1,5050,"Mele"
62,3,0,1600,"Tanvasoko"
552,26,5,15700,"Ifira"
360,12,3,7850,"Pango"
60,2,1,1120,"Erakor"
515,16,8,11800,"Eratap"
463,27,5,16200,"Eton"
1344,0,0,0,"Tafea"
204,0,0,0,"North Erromango"
38,0,0,0,"South Erromango"
410,0,0,0,"Aniwa"
37,0,0,0,"North Tanna"
136,0,0,0,"West Tanna"
59,0,0,0,"Middle Bush Tanna"
66,0,0,0,"South West Tanna"
170,0,0,0,"Whitesands"
82,0,0,0,"South Tanna"
40,0,0,0,"Futuna"
102,0,0,0,"Aneityum"
