"battery_lamp_damage","generator_damage","main_grid_damage","total_household_elec_damage","Region"
13546125,26009750,165375000,204930875,"National"
4220775,10019750,43570000,57810525,"Malampa"
59400,0,0,59400,"North West Malekula"
594000,1397500,9100000,11091500,"North East Malekula"
35550,52000,430000,517550,"Central Malekula"
263250,0,9600000,9863250,"South West Malekula"
796500,2112500,20275000,23184000,"South East Malekula"
555750,1332500,0,1888250,"South Malekula"
151875,471250,0,623125,"North Ambrym"
816750,1007500,0,1824250,"West Ambrym"
778500,3120000,0,3898500,"South East Ambrym"
169200,526500,4165000,4860700,"Paama"
6487875,10390250,118205000,135083125,"Shefa"
1736550,2333500,37690000,41760050,"Port Vila"
117000,422500,6612500,7152000,"Vermali"
0,698750,7450000,8148750,"Vermaul"
924750,1885000,0,2809750,"Varisu"
513000,1202500,0,1715500,"South Epi"
44100,0,0,44100,"North Tongoa"
443250,0,8125000,8568250,"Tongariki"
102375,0,0,102375,"Makimae"
110250,370500,0,480750,"Nguna"
50400,286000,0,336400,"Emau"
18000,0,685000,703000,"Malorua"
253125,341250,2025000,2619375,"North Efate"
145125,601250,3312500,4058875,"Mele"
51750,130000,1575000,1756750,"Tanvasoko"
407250,0,18425000,18832250,"Ifira"
537750,0,6825000,7362750,"Pango"
56700,104000,1255000,1415700,"Erakor"
587250,1170000,11200000,12957250,"Eratap"
389250,845000,13025000,14259250,"Eton"
2837475,5599750,3600000,12037225,"Tafea"
394875,731250,0,1126125,"North Erromango"
75150,162500,0,237650,"South Erromango"
938250,2047500,0,2985750,"Aniwa"
101250,130000,0,231250,"North Tanna"
126000,390000,3600000,4116000,"West Tanna"
138375,292500,0,430875,"Middle Bush Tanna"
113400,383500,0,496900,"South West Tanna"
367875,828750,0,1196625,"Whitesands"
207000,0,0,207000,"South Tanna"
121050,0,0,121050,"Futuna"
254250,633750,0,888000,"Aneityum"
