"hydro_financial","solar_financial","pole_support_financial","terminals_financial","hv_poles_financial","hv_support_financial","hv_transformer_financial","lv_poles_financial","lv_distribution_financial","total_infrastructure_damage","Region"
0,230250000,8177750,3126000,37647000,9526500,79800000,57187500,6450000,432164750,"National"
0,57500000,0,0,0,0,0,0,0,57500000,"Malampa"
0,1e+06,0,0,0,0,0,0,0,1e+06,"North West Malekula"
0,5e+05,0,0,0,0,0,0,0,5e+05,"Central Malekula"
0,5e+06,0,0,0,0,0,0,0,5e+06,"South West Malekula"
0,1.5e+07,0,0,0,0,0,0,0,1.5e+07,"South East Malekula"
0,12500000,0,0,0,0,0,0,0,12500000,"South Malekula"
0,5e+06,0,0,0,0,0,0,0,5e+06,"North Ambrym"
0,12500000,0,0,0,0,0,0,0,12500000,"West Ambrym"
0,6e+06,0,0,0,0,0,0,0,6e+06,"Paama"
0,112750000,8177750,3126000,37647000,9526500,79800000,57187500,6450000,314664750,"Shefa"
0,46500000,5225500,1248000,14724000,3564000,39550000,18622500,3140000,132574000,"Port Vila"
0,2500000,0,0,0,0,0,0,0,2500000,"Vermali"
0,3750000,0,0,0,0,0,0,0,3750000,"Vermaul"
0,1.5e+07,0,0,0,0,0,0,0,1.5e+07,"Varisu"
0,2e+07,0,0,0,0,0,0,0,2e+07,"South Epi"
0,5e+05,0,0,0,0,0,0,0,5e+05,"North Tongoa"
0,7500000,0,0,0,0,0,0,0,7500000,"Tongariki"
0,2500000,0,0,0,0,0,0,0,2500000,"Makimae"
0,2e+06,0,0,0,0,0,0,0,2e+06,"Nguna"
0,0,21000,16000,288000,126000,350000,337500,0,1138500,"Malorua"
0,0,0,0,1170000,337500,0,2681250,0,4188750,"North Efate"
0,0,148750,85000,1215000,315000,1750000,3281250,0,6795000,"Mele"
0,0,122500,35000,360000,135000,1750000,1050000,170000,3622500,"Tanvasoko"
0,0,1190000,470000,4680000,1080000,10500000,9825000,1200000,28945000,"Ifira"
0,0,752500,250000,2970000,855000,8750000,4650000,720000,18947500,"Pango"
0,0,122500,62000,540000,144000,1400000,615000,1e+05,2983500,"Erakor"
0,12500000,595000,340000,7020000,1350000,15750000,5925000,1120000,44600000,"Eratap"
0,0,0,620000,4680000,1620000,0,10200000,0,17120000,"Eton"
0,6e+07,0,0,0,0,0,0,0,6e+07,"Tafea"
0,1e+07,0,0,0,0,0,0,0,1e+07,"North Erromango"
0,22500000,0,0,0,0,0,0,0,22500000,"Aniwa"
0,2500000,0,0,0,0,0,0,0,2500000,"North Tanna"
0,2500000,0,0,0,0,0,0,0,2500000,"West Tanna"
0,2500000,0,0,0,0,0,0,0,2500000,"Middle Bush Tanna"
0,3500000,0,0,0,0,0,0,0,3500000,"South West Tanna"
0,12500000,0,0,0,0,0,0,0,12500000,"Whitesands"
0,1500000,0,0,0,0,0,0,0,1500000,"Futuna"
0,2500000,0,0,0,0,0,0,0,2500000,"Aneityum"
