"Region","total_households","island cabbage_households","island cabbage_production","banana_households","banana_production","taro_households","taro_production","kumala_households","kumala_production","manioc_households","manioc_production","yam_households","yam_production"
"National",64485,10119,23100,9199,37801,7822,50403,7360,41998,6901,39899,4600,16794
"Torba",6097,913,2316,973,3632,723,5155,757,4147,740,3797,451,1615
"Torres",397,65,101,65,264,53,337,36,266,44,191,34,185
"Ureparapara",775,126,284,86,473,65,593,49,640,51,691,42,247
"Motalava",555,76,205,77,329,80,757,61,238,70,262,31,98
"West Vanualava",587,65,168,96,175,105,744,36,218,60,413,57,217
"East Vanualava",513,119,190,63,232,57,453,50,150,34,236,29,106
"Mota",610,136,209,155,699,75,797,219,674,128,425,76,288
"East Gaua",1207,162,587,184,596,102,692,107,998,179,659,56,0
"West Gaua",1221,131,493,210,683,126,506,171,659,145,710,74,411
"Merelava",232,33,79,37,181,60,276,28,304,29,210,52,63
"Sanma",11792,2025,3656,1500,9063,1711,8016,1616,9381,1604,6669,930,3179
"Luganville",3299,746,1202,575,4158,743,1818,618,4101,739,2150,299,755
"North West Santo",1866,184,428,191,1215,146,895,134,858,103,927,112,282
"Big Bay Coast",361,49,77,35,153,60,218,60,257,37,226,25,106
"Big Bay Inland",557,173,337,74,367,86,534,146,478,106,347,104,274
"West Santo",680,139,258,83,775,100,488,79,493,54,289,30,196
"South Santo 1",483,79,221,61,260,76,411,59,254,45,237,26,81
"South Santo 2",554,149,121,39,317,114,306,113,600,118,370,35,192
"East Santo",1182,77,252,98,457,52,875,138,591,80,462,46,213
"South East Santo",737,118,129,86,343,89,687,70,467,65,389,59,125
"Canal Fanafo",1145,137,252,84,481,106,975,76,505,102,634,107,377
"West Malo",271,44,185,33,140,69,288,42,370,46,315,29,346
"East Malo",657,130,194,141,397,70,521,81,407,109,323,58,232
"Penama",7710,1625,2757,1176,4696,1252,6150,995,4898,813,5915,537,2231
"West Ambae",155,31,53,31,99,20,125,27,117,25,167,12,80
"North Ambae",724,97,110,100,271,65,403,58,281,62,442,43,171
"East Ambae",433,112,154,79,497,131,429,126,428,83,274,62,222
"South Ambae",1603,389,364,160,942,209,1304,188,693,107,973,100,483
"North Maewo",1449,277,581,202,583,219,818,168,696,191,1295,78,301
"South Maewo",540,255,150,165,410,89,513,62,678,79,723,40,228
"North Pentecost",527,98,352,106,548,68,254,62,305,69,382,36,131
"Central Pentecost 1",1411,243,747,234,787,339,1348,221,1273,144,1244,100,398
"Central Pentecost 2",584,68,167,45,258,63,736,51,229,32,222,41,93
"South Pentecost",284,55,79,54,301,49,220,32,198,21,193,25,124
"Malampa",8007,1155,2240,897,4129,814,6579,859,4379,771,5686,612,2152
"North West Malekula",348,78,141,105,156,70,273,55,334,38,553,45,151
"North East Malekula",849,122,355,96,530,123,700,89,442,60,473,73,207
"Central Malekula",170,20,32,34,89,15,155,31,110,12,115,18,62
"South West Malekula",412,137,123,57,233,22,551,30,270,47,264,25,94
"South East Malekula",1079,214,388,65,468,106,829,151,1039,128,1012,53,406
"South Malekula",836,66,227,73,465,72,356,74,385,39,395,70,274
"North Ambrym",1029,85,265,115,266,90,420,74,282,88,410,49,176
"West Ambrym",787,97,170,63,534,59,676,112,429,124,491,47,225
"South East Ambrym",842,150,358,156,828,89,1197,128,634,113,1567,132,321
"Paama",1655,186,181,133,560,168,1422,115,454,122,406,100,236
"Shefa",22557,3175,9193,3565,11974,2288,18491,2273,13439,2155,12295,1532,4797
"Port Vila",11736,1507,5468,2063,6078,1019,10482,916,5643,951,5379,850,1804
"Vermali",981,159,188,96,227,107,250,56,447,51,326,30,112
"Vermaul",1096,136,194,128,304,85,380,86,443,74,424,53,317
"Varisu",845,170,436,219,685,177,893,188,902,110,867,112,185
"South Epi",794,103,286,91,392,112,702,70,663,116,644,39,171
"North Tongoa",188,30,86,47,98,25,204,30,210,30,237,22,51
"Tongariki",641,101,260,86,502,70,836,103,415,56,399,58,297
"Makimae",379,70,164,59,318,36,250,47,230,39,150,31,165
"Nguna",748,108,294,117,244,59,672,73,456,157,388,31,274
"Emau",571,124,238,57,243,95,387,83,366,104,402,41,159
"Malorua",144,26,43,39,152,26,85,36,112,15,132,24,60
"North Efate",563,46,151,45,207,67,514,85,436,33,422,29,98
"Mele",442,54,161,52,211,51,282,51,300,22,150,24,156
"Tanvasoko",96,35,53,25,146,17,129,27,131,40,116,18,74
"Ifira",1030,114,310,78,475,95,662,88,784,101,443,62,249
"Pango",676,83,201,97,466,65,368,109,435,61,596,31,173
"Erakor",389,31,188,62,397,64,390,39,348,74,218,20,111
"Eratap",723,159,233,87,302,44,405,86,654,42,619,34,185
"Eton",515,119,239,117,527,74,600,100,464,79,383,23,156
"Tafea",8322,1226,2938,1088,4307,1034,6012,860,5754,818,5537,538,2820
"North Erromango",1650,250,365,225,700,201,935,120,1028,157,989,92,739
"South Erromango",478,52,148,136,230,58,406,50,405,83,179,33,154
"Aniwa",1495,245,451,220,827,121,1218,128,763,124,958,99,458
"North Tanna",197,43,68,40,76,35,250,16,126,29,171,13,79
"West Tanna",186,25,88,40,119,27,162,27,139,27,122,18,91
"Middle Bush Tanna",202,61,81,28,166,38,207,17,196,14,290,21,80
"South West Tanna",1185,146,624,100,358,146,640,166,659,106,627,64,346
"Whitesands",1573,93,380,91,703,164,748,110,586,117,664,72,302
"South Tanna",321,58,134,77,260,43,312,67,377,32,249,39,216
"Futuna",762,159,365,63,670,134,843,93,802,91,805,57,193
"Aneityum",273,94,234,68,198,67,291,66,673,38,483,30,162
