"Region","total_households","kava_households","kava_production","coconut_households","coconut_production","cocoa_households","cocoa_production","coffee_households","coffee_production","vanilla_households","vanilla_production","tahitian lime_households","tahitian lime_production","pepper_households","pepper_production","noni_households","noni_production"
"National",64485,8579,28804,9900,36485,4621,11520,2308,6721,2642,3840,1982,4801,1649,959,1317,2879
"Torba",6097,851,2945,972,3547,383,818,0,0,45,74,43,140,0,0,34,94
"Torres",397,40,342,55,184,24,0,0,0,0,0,13,39,0,0,13,20
"Ureparapara",775,122,315,151,447,42,242,0,0,0,0,0,0,0,0,0,0
"Motalava",555,75,201,62,355,0,0,0,0,0,0,0,0,0,0,0,0
"West Vanualava",587,119,397,96,274,44,91,0,0,45,74,30,101,0,0,13,39
"East Vanualava",513,78,161,41,427,49,63,0,0,0,0,0,0,0,0,8,35
"Mota",610,77,450,121,601,33,0,0,0,0,0,0,0,0,0,0,0
"East Gaua",1207,150,330,194,489,71,200,0,0,0,0,0,0,0,0,0,0
"West Gaua",1221,136,580,221,582,120,222,0,0,0,0,0,0,0,0,0,0
"Merelava",232,54,169,31,188,0,0,0,0,0,0,0,0,0,0,0,0
"Sanma",11792,1706,4281,1852,5166,806,1670,473,466,515,648,482,845,551,181,286,461
"Luganville",3299,672,0,612,0,187,0,314,0,148,0,187,0,314,0,87,0
"North West Santo",1866,216,1015,147,1359,117,324,0,0,48,111,54,144,97,54,25,82
"Big Bay Coast",361,26,204,36,107,18,86,0,0,19,42,24,50,0,0,9,19
"Big Bay Inland",557,93,492,113,542,82,185,0,0,52,55,49,123,36,40,22,37
"West Santo",680,160,227,135,470,56,86,0,0,38,53,0,0,0,0,0,0
"South Santo 1",483,105,185,60,151,36,94,0,0,31,44,16,74,0,0,19,55
"South Santo 2",554,66,273,175,230,44,92,48,167,27,38,0,0,0,0,19,35
"East Santo",1182,76,363,108,764,64,208,0,0,30,54,38,126,25,14,21,48
"South East Santo",737,72,361,125,542,63,170,0,0,26,45,23,61,27,23,17,40
"Canal Fanafo",1145,83,314,124,434,64,119,0,0,47,71,41,101,0,0,34,72
"West Malo",271,56,224,59,206,24,67,49,133,17,45,18,62,13,24,16,39
"East Malo",657,81,623,158,361,51,239,62,166,32,90,32,104,39,26,17,34
"Penama",7710,1153,4745,1383,5008,567,1805,251,1144,360,557,158,359,237,96,232,501
"West Ambae",155,34,46,38,146,15,104,0,0,4,23,0,0,0,0,4,14
"North Ambae",724,91,175,80,393,43,165,0,0,31,88,0,0,0,0,0,0
