"Region","total_households_affected","island cabbage_households_damaged","island cabbage_production_damaged","banana_households_damaged","banana_production_damaged","taro_households_damaged","taro_production_damaged","kumala_households_damaged","kumala_production_damaged","manioc_households_damaged","manioc_production_damaged","yam_households_damaged","yam_production_damaged"
"National",38886,1495.2,3452.8,1330.35,5549.5,1066.15,7915.4,1115.7,6512.65,975.3,6771.6,693.75,2775.1
"Malampa",8007,442.65,912.15,310.95,1676,283.3,2444.5,330.6,1759.8,294.7,2310.9,228.55,852.4
"North West Malekula",348,7.8,14.1,10.5,15.6,7,27.3,5.5,33.4,3.8,55.3,4.5,15.1
"North East Malekula",849,61,177.5,48,265,61.5,350,44.5,221,30,236.5,36.5,103.5
"Central Malekula",170,2,3.2,3.4,8.9,1.5,15.5,3.1,11,1.2,11.5,1.8,6.2
"South West Malekula",412,68.5,61.5,28.5,116.5,11,275.5,15,135,23.5,132,12.5,47
"South East Malekula",1079,107,194,32.5,234,53,414.5,75.5,519.5,64,506,26.5,203
"South Malekula",836,33,113.5,36.5,232.5,36,178,37,192.5,19.5,197.5,35,137
"North Ambrym",1029,21.25,66.25,28.75,66.5,22.5,105,18.5,70.5,22,102.5,12.25,44
"West Ambrym",787,48.5,85,31.5,267,29.5,338,56,214.5,62,245.5,23.5,112.5
"South East Ambrym",842,75,179,78,414,44.5,598.5,64,317,56.5,783.5,66,160.5
"Paama",1655,18.6,18.1,13.3,56,16.8,142.2,11.5,45.4,12.2,40.6,10,23.6
"Shefa",22557,732.1,1841.95,727.25,2748.95,538.05,3906.25,577.7,3368.75,480.35,3048.1,324.55,1184.4
"Port Vila",11736,150.7,546.8,206.3,607.8,101.9,1048.2,91.6,564.3,95.1,537.9,85,180.4
"Vermali",981,39.75,47,24,56.75,26.75,62.5,14,111.75,12.75,81.5,7.5,28
"Vermaul",1096,34,48.5,32,76,21.25,95,21.5,110.75,18.5,106,13.25,79.25
"Varisu",845,85,218,109.5,342.5,88.5,446.5,94,451,55,433.5,56,92.5
"South Epi",794,51.5,143,45.5,196,56,351,35,331.5,58,322,19.5,85.5
"North Tongoa",188,3,8.6,4.7,9.8,2.5,20.4,3,21,3,23.7,2.2,5.1
"Tongariki",641,50.5,130,43,251,35,418,51.5,207.5,28,199.5,29,148.5
"Makimae",379,17.5,41,14.75,79.5,9,62.5,11.75,57.5,9.75,37.5,7.75,41.25
"Nguna",748,10.8,29.4,11.7,24.4,5.9,67.2,7.3,45.6,15.7,38.8,3.1,27.4
"Emau",571,12.4,23.8,5.7,24.3,9.5,38.7,8.3,36.6,10.4,40.2,4.1,15.9
"Malorua",144,2.6,4.3,3.9,15.2,2.6,8.5,3.6,11.2,1.5,13.2,2.4,6
"North Efate",563,11.5,37.75,11.25,51.75,16.75,128.5,21.25,109,8.25,105.5,7.25,24.5
"Mele",442,13.5,40.25,13,52.75,12.75,70.5,12.75,75,5.5,37.5,6,39
"Tanvasoko",96,8.75,13.25,6.25,36.5,4.25,32.25,6.75,32.75,10,29,4.5,18.5
"Ifira",1030,57,155,39,237.5,47.5,331,44,392,50.5,221.5,31,124.5
"Pango",676,41.5,100.5,48.5,233,32.5,184,54.5,217.5,30.5,298,15.5,86.5
"Erakor",389,3.1,18.8,6.2,39.7,6.4,39,3.9,34.8,7.4,21.8,2,11.1
"Eratap",723,79.5,116.5,43.5,151,22,202.5,43,327,21,309.5,17,92.5
"Eton",515,59.5,119.5,58.5,263.5,37,300,50,232,39.5,191.5,11.5,78
"Tafea",8322,320.45,698.7,292.15,1124.55,244.8,1564.65,207.4,1384.1,200.25,1412.6,140.65,738.3
"North Erromango",1650,62.5,91.25,56.25,175,50.25,233.75,30,257,39.25,247.25,23,184.75
"South Erromango",478,5.2,14.8,13.6,23,5.8,40.6,5,40.5,8.3,17.9,3.3,15.4
"Aniwa",1495,122.5,225.5,110,413.5,60.5,609,64,381.5,62,479,49.5,229
"North Tanna",197,10.75,17,10,19,8.75,62.5,4,31.5,7.25,42.75,3.25,19.75
"West Tanna",186,12.5,44,20,59.5,13.5,81,13.5,69.5,13.5,61,9,45.5
"Middle Bush Tanna",202,15.25,20.25,7,41.5,9.5,51.75,4.25,49,3.5,72.5,5.25,20
"South West Tanna",1185,14.6,62.4,10,35.8,14.6,64,16.6,65.9,10.6,62.7,6.4,34.6
"Whitesands",1573,23.25,95,22.75,175.75,41,187,27.5,146.5,29.25,166,18,75.5
"South Tanna",321,14.5,33.5,19.25,65,10.75,78,16.75,94.25,8,62.25,9.75,54
"Futuna",762,15.9,36.5,6.3,67,13.4,84.3,9.3,80.2,9.1,80.5,5.7,19.3
"Aneityum",273,23.5,58.5,17,49.5,16.75,72.75,16.5,168.25,9.5,120.75,7.5,40.5
