"Region","total_households_affected","kava_households_damaged","kava_production_damaged","coconut_households_damaged","coconut_production_damaged","cocoa_households_damaged","cocoa_production_damaged","coffee_households_damaged","coffee_production_damaged","vanilla_households_damaged","vanilla_production_damaged","tahitian lime_households_damaged","tahitian lime_production_damaged","pepper_households_damaged","pepper_production_damaged","noni_households_damaged","noni_production_damaged"
"National",38886,1234.4,4263.65,1474.55,5682.75,709.8,1771.2,369.95,984.6,422.6,737,262.65,643.5,227.15,158.75,180.85,404.45
"Malampa",8007,445.1,1435.65,316.95,1470.5,218.15,437.4,91.2,4,150.8,212.4,29.85,38.65,101.85,84,60.3,139.1
"North West Malekula",348,4.7,37.9,11.5,33.2,4.9,17.9,0,0,4.5,5,2.5,7.2,2.6,1.3,1.6,5.4
"North East Malekula",849,60,205,41,147,37,60,34.5,0,18.5,37.5,0,0,21,20,10.5,16.5
"Central Malekula",170,1.5,10.5,2,11.2,1,3,1.2,4,0.8,1.9,0,0,1,0.7,0.5,0.7
"South West Malekula",412,27,138,32.5,94.5,13,42.5,0,0,7,12,0,0,0,0,8,12
"South East Malekula",1079,69,405,58,272.5,42.5,105.5,0,0,50,76,0,0,27.5,36,10,46.5
"South Malekula",836,42,152,27,199.5,34,91.5,0,0,13,23.5,0,0,11.5,0,5,22.5
"North Ambrym",1029,29,103.75,17.25,87.5,13.25,0,0,0,4.5,22,7.75,14.25,10.75,6,0,0
"West Ambrym",787,45,0,54,0,26.5,0,0,0,15.5,0,13,0,0,0,0,0
"South East Ambrym",842,155,333.5,61,528,46,117,55.5,0,37,34.5,0,0,27.5,20,21,28
"Paama",1655,11.9,50,12.7,97.1,0,0,0,0,0,0,6.6,17.2,0,0,3.7,7.5
"Shefa",22557,588.3,2241.95,718.8,2987.9,408.2,1226.55,207.1,681.85,209.7,432.35,192.5,485.6,119.55,72.5,100.4,218.8
"Port Vila",11736,135.1,484.1,155.7,699.3,116.7,319.4,57.2,201.4,61.9,54.5,55.7,147.6,36.2,38.8,26.3,80.1
"Vermali",981,18,119.75,19.5,127.75,14,39.75,10,28.25,0,0,0,0,0,0,5.5,5
"Vermaul",1096,23,125.75,31.75,182,22.25,48.25,16.5,63,8.5,35.25,0,0,0,0,6.25,8.5
"Varisu",845,79.5,259.5,105,244.5,51.5,167,0,0,23.5,70,0,0,0,0,0,0
"South Epi",794,49,198.5,82,244.5,25,170,0,0,10.5,48.5,0,0,0,0,0,0
"North Tongoa",188,4,23.9,2.7,10.4,2,3.8,0,0,1.5,2.1,0.7,2.2,0,0,0,0
"Tongariki",641,32.5,220.5,24.5,87.5,24,102,20.5,95,11.5,0,18,51,0,0,6,11
"Makimae",379,14.25,44.25,13,91,6.75,19.75,4,24.5,5.25,12,6.75,18,0,0,3.25,6.25
"Nguna",748,14.5,24.7,9.5,44.8,4.8,25.6,5.1,21.2,4.4,5.2,2.4,8,3.4,1.7,3.3,6
"Emau",571,11.6,33.4,7,27.1,0,0,0,0,4.3,6,3.1,10.7,0,0,0,0
"Malorua",144,3.1,10,2.2,8.9,1.2,4.6,1.1,3.6,0.7,1,0.7,2.1,0.7,0,0.5,1.5
"North Efate",563,19.25,48.25,13.25,95.25,8.25,22,4.25,30,5.5,8.5,6,25.25,5.75,4,3.5,8.5
"Mele",442,10.75,88.75,14.25,64.5,8.75,27.75,6.75,16.25,6.25,12.75,6,28.75,5.5,0,5.25,5
"Tanvasoko",96,9.25,16,3.25,25,8,15.75,2.5,8.25,1.5,4.25,1.75,10.5,0,0,0.75,2.25
"Ifira",1030,0,0,90,309.5,38,0,0,0,19,62.5,17.5,55,0,0,11,32
"Pango",676,64,0,47.5,374.5,30,97.5,29,62,15.5,24,17,53.5,19.5,0,8.5,13
"Erakor",389,6,18.1,4.2,17.4,5.5,9.9,1.7,5.9,1.9,4.3,2.4,6.5,0,0,1.8,2.2
"Eratap",723,56,295,37.5,162,17,66.5,19.5,57.5,14,51,30.5,39,21.5,12,8.5,12.5
"Eton",515,38.5,231.5,56,172,24.5,87,29,65,14,30.5,24,27.5,27,16,10,25
"Tafea",8322,201,586.05,438.8,1224.35,83.45,107.25,71.65,298.75,62.1,92.25,40.3,119.25,5.75,2.25,20.15,46.55
"North Erromango",1650,61.5,81.25,92,275,20,84.25,18.5,52.5,20.25,18,0,0,0,0,0,0
"South Erromango",478,8.6,32.3,9.9,21.3,3.4,12,2.1,12.4,2.2,0,0,0,0,0,0,0
"Aniwa",1495,0,0,162,359,0,0,0,0,0,0,0,0,0,0,0,0
"North Tanna",197,4,41.75,7.75,42.75,3,0,3.75,9,2.5,4.75,0,0,0,0,0,0
"West Tanna",186,15.5,40.5,19,81,9.5,11,6.5,28.5,8.5,11.5,6,9,0,0,2.5,7.5
"Middle Bush Tanna",202,13.5,27.5,12.75,33.5,8.25,0,3,12.75,3.5,13.5,0,0,0,0,0,0
"South West Tanna",1185,14.2,64.5,14.4,64.7,4.3,0,6.8,35.3,5.6,7.3,4.6,8.7,0,0,2.9,6.3
"Whitesands",1573,30,140.25,32.25,137,22.5,0,8.25,83.25,0,0,11.5,48,0,0,9,18
"South Tanna",321,23.25,94.5,27,89.25,0,0,7.25,21,5.75,14.75,5,19,0,0,2.25,5.75
"Futuna",762,17.7,0,33,62.1,0,0,7,14.3,3.3,8.7,4.7,15.3,0,0,0,0
"Aneityum",273,12.75,63.5,28.75,58.75,12.5,0,8.5,29.75,10.5,13.75,8.5,19.25,5.75,2.25,3.5,9
