"num_households_affected","island_cabbage_cuttings","taro_seedlings","kumala_cuttings","manioc_cuttings","yam_cuttings","Region"
38886,777720,583290,972150,699948,466632,"National"
8007,160140,120105,200175,144126,96084,"Malampa"
348,6960,5220,8700,6264,4176,"North West Malekula"
849,16980,12735,21225,15282,10188,"North East Malekula"
170,3400,2550,4250,3060,2040,"Central Malekula"
412,8240,6180,10300,7416,4944,"South West Malekula"
1079,21580,16185,26975,19422,12948,"South East Malekula"
836,16720,12540,20900,15048,10032,"South Malekula"
1029,20580,15435,25725,18522,12348,"North Ambrym"
787,15740,11805,19675,14166,9444,"West Ambrym"
842,16840,12630,21050,15156,10104,"South East Ambrym"
1655,33100,24825,41375,29790,19860,"Paama"
22557,451140,338355,563925,406026,270684,"Shefa"
11736,234720,176040,293400,211248,140832,"Port Vila"
981,19620,14715,24525,17658,11772,"Vermali"
1096,21920,16440,27400,19728,13152,"Vermaul"
845,16900,12675,21125,15210,10140,"Varisu"
794,15880,11910,19850,14292,9528,"South Epi"
188,3760,2820,4700,3384,2256,"North Tongoa"
641,12820,9615,16025,11538,7692,"Tongariki"
379,7580,5685,9475,6822,4548,"Makimae"
748,14960,11220,18700,13464,8976,"Nguna"
571,11420,8565,14275,10278,6852,"Emau"
144,2880,2160,3600,2592,1728,"Malorua"
563,11260,8445,14075,10134,6756,"North Efate"
442,8840,6630,11050,7956,5304,"Mele"
96,1920,1440,2400,1728,1152,"Tanvasoko"
1030,20600,15450,25750,18540,12360,"Ifira"
676,13520,10140,16900,12168,8112,"Pango"
389,7780,5835,9725,7002,4668,"Erakor"
723,14460,10845,18075,13014,8676,"Eratap"
515,10300,7725,12875,9270,6180,"Eton"
8322,166440,124830,208050,149796,99864,"Tafea"
1650,33000,24750,41250,29700,19800,"North Erromango"
478,9560,7170,11950,8604,5736,"South Erromango"
1495,29900,22425,37375,26910,17940,"Aniwa"
197,3940,2955,4925,3546,2364,"North Tanna"
186,3720,2790,4650,3348,2232,"West Tanna"
202,4040,3030,5050,3636,2424,"Middle Bush Tanna"
1185,23700,17775,29625,21330,14220,"South West Tanna"
1573,31460,23595,39325,28314,18876,"Whitesands"
321,6420,4815,8025,5778,3852,"South Tanna"
762,15240,11430,19050,13716,9144,"Futuna"
273,5460,4095,6825,4914,3276,"Aneityum"
