"Region","total_staple_financial","island_cabbage_financial","banana_financial","taro_financial","kumala_financial","manioc_financial","yam_financial"
"National",5955253.5,621504,665940,2058004,976897.5,744876,888032
"Malampa",1791814,164187,201120,635570,263970,254199,272768
"North West Malekula",27433,2538,1872,7098,5010,6083,4832
"North East Malekula",247035,31950,31800,91000,33150,26015,33120
"Central Malekula",10573,576,1068,4030,1650,1265,1984
"South West Malekula",146490,11070,13980,71630,20250,14520,15040
"South East Malekula",369315,34920,28080,107770,77925,55660,64960
"South Malekula",189050,20430,27900,46280,28875,21725,43840
"North Ambrym",83135,11925,7980,27300,10575,11275,14080
"West Ambrym",230400,15300,32040,87880,32175,27005,36000
"South East Ambrym",422605,32220,49680,155610,47550,86185,51360
"Paama",65778,3258,6720,36972,6810,4466,7552
"Shefa",2896661.5,331551,329874,1015625,505312.5,335291,379008
"Port Vila",645434,98424,72936,272532,84645,59169,57728
"Vermali",66207.5,8460,6810,16250,16762.5,8965,8960
"Vermaul",96182.5,8730,9120,24700,16612.5,11660,25360
"Varisu",341365,39240,41100,116090,67650,47685,29600
"South Epi",253025,25740,23520,91260,49725,35420,27360
"North Tongoa",15417,1548,1176,5304,3150,2607,1632
"Tongariki",262790,23400,30120,108680,31125,21945,47520
"Makimae",59120,7380,9540,16250,8625,4125,13200
"Nguna",45568,5292,2928,17472,6840,4268,8768
"Emau",32262,4284,2916,10062,5490,4422,5088
"Malorua",9860,774,1824,2210,1680,1452,1920
"North Efate",82210,6795,6210,33410,16350,11605,7840
"Mele",59760,7245,6330,18330,11250,4125,12480
"Tanvasoko",29172.5,2385,4380,8385,4912.5,3190,5920
"Ifira",265465,27900,28500,86060,58800,24365,39840
"Pango",186975,18090,27960,47840,32625,32780,27680
"Erakor",29458,3384,4764,10140,5220,2398,3552
"Eratap",204435,20970,18120,52650,49050,34045,29600
"Eton",211955,21510,31620,78000,34800,21065,24960
"Tafea",1266778,125766,134946,406809,207615,155386,236256
"North Erromango",223067.5,16425,21000,60775,38550,27197.5,59120
"South Erromango",28952,2664,2760,10556,6075,1969,4928
"Aniwa",431745,40590,49620,158340,57225,52690,73280
"North Tanna",37337.5,3060,2280,16250,4725,4702.5,6320
"West Tanna",67815,7920,7140,21060,10425,6710,14560
"Middle Bush Tanna",43805,3645,4980,13455,7350,7975,6400
"South West Tanna",60022,11232,4296,16640,9885,6897,11072
"Whitesands",151205,17100,21090,48620,21975,18260,24160
"South Tanna",72375,6030,7800,20280,14137.5,6847.5,17280
"Futuna",63589,6570,8040,21918,12030,8855,6176
"Aneityum",86865,10530,5940,18915,25237.5,13282.5,12960
