"Region","total_cash_financial","kava_financial","coconut_financial","cocoa_financial","coffee_financial","vanilla_financial","tahitian_lime_financial","pepper_financial","noni_financial"
"National",25207733.75,5116380,312551.25,566784,472608,18425000,135135,142875,36400.5
"Malampa",7351781,1722780,80877.5,139968,1920,5310000,8116.5,75600,12519
"North West Malekula",181202,45480,1826,5728,0,125000,1512,1170,486
"North East Malekula",1230270,246000,8085,19200,0,937500,0,18000,1485
"Central Malekula",64289,12600,616,960,1920,47500,0,630,63
"South West Malekula",485477.5,165600,5197.5,13600,0,3e+05,0,0,1080
"South East Malekula",2471332.5,486000,14987.5,33760,0,1900000,0,32400,4185
"South Malekula",812177.5,182400,10972.5,29280,0,587500,0,0,2025
"North Ambrym",687705,124500,4812.5,0,0,550000,2992.5,5400,0
"West Ambrym",0,0,0,0,0,0,0,0,0
"South East Ambrym",1349700,400200,29040,37440,0,862500,0,18000,2520
"Paama",69627.5,60000,5340.5,0,0,0,3612,0,675
"Shefa",14570126.5,2690340,164334.5,392496,327288,10808750,101976,65250,19692
"Port Vila",2253886.5,580920,38461.5,102208,96672,1362500,30996,34920,7209
"Vermali",177456.25,143700,7026.25,12720,13560,0,0,0,450
"Vermaul",1088605,150900,10010,15440,30240,881250,0,0,765
"Varisu",2128287.5,311400,13447.5,53440,0,1750000,0,0,0
"South Epi",1518547.5,238200,13447.5,54400,0,1212500,0,0,0
"North Tongoa",83430,28680,572,1216,0,52500,462,0,0
"Tongariki",359352.5,264600,4812.5,32640,45600,0,10710,0,990
"Makimae",380527.5,53100,5005,6320,11760,3e+05,3780,0,562.5
"Nguna",184222,29640,2464,8192,10176,130000,1680,1530,540
"Emau",193817.5,40080,1490.5,0,0,150000,2247,0,0
"Malorua",41265.5,12000,489.5,1472,1728,25000,441,0,135
"North Efate",306746.25,57900,5238.75,7040,14400,212500,5302.5,3600,765
"Mele",451965,106500,3547.5,8880,7800,318750,6037.5,0,450
"Tanvasoko",138232.5,19200,1375,5040,3960,106250,2205,0,202.5
"Ifira",1593952.5,0,17022.5,0,0,1562500,11550,0,2880
"Pango",693962.5,0,20597.5,31200,29760,6e+05,11235,0,1170
"Erakor",137740,21720,957,3168,2832,107500,1365,0,198
"Eratap",1706905,354000,8910,21280,27600,1275000,8190,10800,1125
"Eton",1131225,277800,9460,27840,31200,762500,5775,14400,2250
"Tafea",3285826.25,703260,67339.25,34320,143400,2306250,25042.5,2025,4189.5
"North Erromango",614785,97500,15125,26960,25200,450000,0,0,0
"South Erromango",49723.5,38760,1171.5,3840,5952,0,0,0,0
"Aniwa",19745,0,19745,0,0,0,0,0,0
"North Tanna",175521.25,50100,2351.25,0,4320,118750,0,0,0
"West Tanna",360320,48600,4455,3520,13680,287500,1890,0,675
"Middle Bush Tanna",378462.5,33000,1842.5,0,6120,337500,0,0,0
"South West Tanna",282796.5,77400,3558.5,0,16944,182500,1827,0,567
"Whitesands",227495,168300,7535,0,39960,0,10080,0,1620
"South Tanna",501646.25,113400,4908.75,0,10080,368750,3990,0,517.5
"Futuna",230992.5,0,3415.5,0,6864,217500,3213,0,0
"Aneityum",444338.75,76200,3231.25,0,14280,343750,4042.5,2025,810
