"Region","total_population","sex_male","sex_female","age_0-4","age_5-11","age_12-18","age_19-35","age_36-54","age_55+"
"National",273938,139636,134302,35360,46237,43519,73440,48963,24481
"Torba",24682,12444,12238,4230,5709,3828,7889,4412,2274
"Torres",1738,826,912,210,313,355,299,336,203
"Ureparapara",3819,1952,1867,547,725,387,1303,797,186
"Motalava",2668,1362,1306,377,277,313,626,347,254
"West Vanualava",2596,1019,1577,135,518,557,671,533,290
"East Vanualava",1569,563,1006,336,324,324,713,318,177
"Mota",3510,1892,1618,602,769,530,995,607,255
"East Gaua",4396,2527,1869,1134,984,456,1602,474,414
"West Gaua",3461,1833,1628,694,1487,624,1323,730,347
"Merelava",925,470,455,195,312,282,357,270,148
"Sanma",36420,17808,18612,6139,10209,9096,14129,8484,4748
"Luganville",1941,917,1024,1702,4494,2503,5843,2940,1648
"North West Santo",5183,1683,3500,705,1005,1499,994,543,676
"Big Bay Coast",1242,529,713,128,183,151,311,250,141
"Big Bay Inland",4364,2497,1867,389,526,653,796,1070,376
"West Santo",2725,1618,1107,370,785,448,748,538,309
"South Santo 1",1809,959,850,170,229,246,393,582,119
"South Santo 2",1774,1014,760,304,243,866,663,372,270
"East Santo",4627,2390,2237,412,672,788,565,759,373
"South East Santo",4318,1601,2717,535,505,412,655,422,204
"Canal Fanafo",3018,1579,1439,639,828,896,977,390,239
"West Malo",1890,952,938,155,202,210,586,314,114
"East Malo",3529,2069,1460,630,537,424,1598,304,279
"Penama",38177,17868,20309,3729,5493,5281,9262,6640,2648
"West Ambae",1067,560,507,88,270,103,306,141,88
"North Ambae",3757,2050,1707,320,521,517,605,713,234
"East Ambae",2961,1408,1553,429,529,427,665,425,194
"South Ambae",5529,2543,2986,503,1018,717,1322,673,492
"North Maewo",5628,2166,3462,563,696,1441,2192,1223,446
"South Maewo",3371,1238,2133,283,602,379,618,449,291
"North Pentecost",2634,1470,1164,233,334,307,687,302,243
"Central Pentecost 1",8757,3984,4773,1005,883,886,1681,1953,488
"Central Pentecost 2",2687,1481,1206,160,374,341,878,425,76
"South Pentecost",1786,968,818,145,266,163,308,336,96
"Malampa",35631,17827,17804,4553,6322,5708,9495,6645,3067
"North West Malekula",3411,903,2508,318,531,613,608,650,164
"North East Malekula",3041,1895,1146,379,534,405,686,480,760
"Central Malekula",696,454,242,106,176,106,402,165,53
"South West Malekula",2771,1699,1072,268,414,369,608,419,132
"South East Malekula",5495,3421,2074,637,664,536,949,880,411
"South Malekula",2493,1397,1096,381,485,456,514,571,291
"North Ambrym",3153,1936,1217,264,801,599,540,765,290
"West Ambrym",2135,936,1199,488,755,688,1478,413,161
"South East Ambrym",5648,2351,3297,798,1076,988,965,1008,394
"Paama",6788,2835,3953,914,886,948,2745,1294,411
"Shefa",106099,58139,47960,12465,12465,14731,23472,17190,8640
"Port Vila",56973,35567,21406,6522,4592,6329,10817,10521,4464
"Vermali",2953,1099,1854,296,354,415,614,615,175
"Vermaul",3927,2213,1714,268,548,515,1597,398,344
"Varisu",4743,2752,1991,592,797,1341,1184,797,515
"South Epi",3718,1466,2252,557,513,1004,1060,569,250
"North Tongoa",1330,696,634,181,117,293,209,175,54
"Tongariki",3122,1255,1867,483,505,399,575,351,346
"Makimae",2242,1341,901,179,522,465,488,292,111
"Nguna",4474,1642,2832,550,509,260,444,396,275
"Emau",2468,1270,1198,263,646,724,558,406,264
"Malorua",848,554,294,123,122,82,220,87,64
"North Efate",1852,1056,796,241,318,300,384,234,200
"Mele",1775,713,1062,233,303,416,529,266,193
"Tanvasoko",529,287,242,91,131,159,208,120,57
"Ifira",5243,1923,3320,470,385,476,1275,592,268
"Pango",2112,967,1145,300,541,390,1259,219,316
"Erakor",2060,805,1255,229,189,293,834,173,181
"Eratap",2623,1380,1243,614,900,482,785,216,402
"Eton",3107,1153,1954,273,473,388,432,763,161
"Tafea",32929,15550,17379,4244,6039,4875,9193,5592,3104
"North Erromango",5138,2800,2338,463,1115,766,1694,1172,878
"South Erromango",2813,1431,1382,262,300,189,457,424,87
"Aniwa",5148,1698,3450,780,1026,654,1154,598,387
"North Tanna",812,308,504,196,155,85,405,199,66
"West Tanna",828,269,559,136,127,159,417,168,76
"Middle Bush Tanna",891,503,388,121,237,223,391,209,93
"South West Tanna",5674,2707,2967,370,488,667,990,528,435
"Whitesands",3781,2278,1503,645,859,447,1684,629,238
"South Tanna",2026,1239,787,213,524,263,458,518,208
"Futuna",3298,1034,2264,525,785,1006,1097,655,384
"Aneityum",2520,1283,1237,533,423,416,446,492,252
