"Region","total_population","marital_defacto","marital_married","marital_never married","marital_separated","marital_widowed"
"National",273938,32925,104903,120040,5492,10992
"Torba",24682,3521,11934,12596,468,1375
"Torres",1738,200,1000,936,28,58
"Ureparapara",3819,297,1088,1097,45,132
"Motalava",2668,298,742,865,26,103
"West Vanualava",2596,437,1029,1308,41,89
"East Vanualava",1569,256,1503,935,33,92
"Mota",3510,680,2161,1806,88,225
"East Gaua",4396,515,2089,3091,96,376
"West Gaua",3461,609,1938,1582,84,240
"Merelava",925,229,384,976,27,60
"Sanma",36420,5414,16143,14986,844,1437
"Luganville",1941,285,1542,361,55,115
"North West Santo",5183,988,3021,3847,193,255
"Big Bay Coast",1242,166,703,925,22,29
"Big Bay Inland",4364,592,1197,1354,102,98
"West Santo",2725,424,1641,1325,59,170
"South Santo 1",1809,291,1277,892,45,73
"South Santo 2",1774,446,990,1395,69,180
"East Santo",4627,296,773,1135,77,110
"South East Santo",4318,260,948,978,43,92
"Canal Fanafo",3018,799,1752,1163,39,116
"West Malo",1890,193,551,823,27,93
"East Malo",3529,674,1748,788,113,106
"Penama",38177,4108,14322,16257,948,1290
"West Ambae",1067,112,324,354,21,61
"North Ambae",3757,254,1192,1078,74,136
"East Ambae",2961,427,2185,1061,60,89
"South Ambae",5529,513,1758,1859,174,221
"North Maewo",5628,555,1886,2711,114,190
"South Maewo",3371,594,797,845,81,89
"North Pentecost",2634,595,1030,1704,80,96
"Central Pentecost 1",8757,679,4070,5146,282,281
"Central Pentecost 2",2687,198,681,1096,17,57
"South Pentecost",1786,181,399,403,45,70
"Malampa",35631,3841,14575,12000,659,1431
"North West Malekula",3411,621,1090,1263,62,164
"North East Malekula",3041,386,1456,1098,72,145
"Central Malekula",696,86,309,258,11,41
"South West Malekula",2771,109,376,453,21,99
"South East Malekula",5495,370,1960,1977,152,144
"South Malekula",2493,364,1465,742,48,200
"North Ambrym",3153,249,1143,1252,43,96
"West Ambrym",2135,423,1041,1451,77,168
"South East Ambrym",5648,645,2465,1394,77,195
"Paama",6788,588,3270,2112,96,179
"Shefa",106099,10316,31470,49280,1952,3979
"Port Vila",56973,4365,12755,27388,906,1866
"Vermali",2953,410,871,759,48,101
"Vermaul",3927,800,1222,1452,83,203
"Varisu",4743,595,2040,4303,155,126
"South Epi",3718,449,1597,2057,67,127
"North Tongoa",1330,139,464,376,16,35
"Tongariki",3122,339,1426,1475,48,84
"Makimae",2242,192,488,540,41,55
"Nguna",4474,316,1244,896,63,92
"Emau",2468,317,1188,1263,50,174
"Malorua",848,55,437,322,13,29
"North Efate",1852,160,537,688,50,159
"Mele",1775,192,796,839,59,63
"Tanvasoko",529,89,329,465,13,40
"Ifira",5243,502,1476,1736,96,175
"Pango",2112,374,991,933,76,154
"Erakor",2060,311,678,650,23,87
"Eratap",2623,313,2214,1475,74,199
"Eton",3107,398,717,1663,71,210
"Tafea",32929,5725,16459,14921,621,1480
"North Erromango",5138,1371,3427,2699,80,317
"South Erromango",2813,369,696,831,28,81
"Aniwa",5148,848,1117,1821,137,234
"North Tanna",812,118,247,774,16,43
"West Tanna",828,105,374,389,27,39
"Middle Bush Tanna",891,163,441,354,34,55
"South West Tanna",5674,391,2736,1851,52,181
"Whitesands",3781,1147,2065,2924,96,165
"South Tanna",2026,408,1333,1098,31,115
"Futuna",3298,599,2829,1442,68,173
"Aneityum",2520,206,1194,738,52,77
