"Region","total_population","employ_government","employ_private","employ_employer","employ_self-employed","employ_voluntary","employ_unpaid","employ_own consumption"
"National",273938,27422,43792,10951,49310,16495,32900,93474
"Torba",24682,3799,4422,866,4848,1700,3057,8759
"Torres",1738,261,307,0,326,0,288,845
"Ureparapara",3819,537,491,190,1027,206,630,736
"Motalava",2668,395,302,94,513,120,150,882
"West Vanualava",2596,209,573,97,440,195,454,885
"East Vanualava",1569,219,376,136,427,148,227,512
"Mota",3510,926,612,102,607,318,0,0
"East Gaua",4396,790,887,247,635,200,575,2661
"West Gaua",3461,376,558,0,640,429,518,1482
"Merelava",925,86,316,0,233,84,215,756
"Sanma",36420,3498,5607,1346,5770,2160,4603,14207
"Luganville",1941,222,274,65,348,176,257,996
"North West Santo",5183,634,1119,0,809,296,607,2085
"Big Bay Coast",1242,86,230,49,290,98,112,408
"Big Bay Inland",4364,297,430,157,801,0,454,1177
"West Santo",2725,305,511,80,390,224,303,1285
"South Santo 1",1809,114,218,68,376,212,562,495
"South Santo 2",1774,214,551,178,367,202,158,1602
"East Santo",4627,382,458,93,672,177,519,741
"South East Santo",4318,266,378,192,298,135,295,826
"Canal Fanafo",3018,621,533,165,522,265,488,1442
"West Malo",1890,161,315,113,309,184,271,943
"East Malo",3529,196,590,186,588,191,577,2207
"Penama",38177,3931,6080,1140,6832,2497,5033,13467
"West Ambae",1067,70,154,31,142,66,160,623
"North Ambae",3757,252,383,0,609,142,325,545
"East Ambae",2961,339,485,184,465,237,595,1574
"South Ambae",5529,494,1132,0,761,358,675,2437
"North Maewo",5628,673,1013,264,844,486,819,2117
"South Maewo",3371,311,478,110,681,226,558,1206
"North Pentecost",2634,178,448,106,288,139,329,1440
"Central Pentecost 1",8757,1275,1533,269,2152,613,1216,2120
"Central Pentecost 2",2687,200,237,74,537,122,234,768
"South Pentecost",1786,139,217,102,353,108,122,637
"Malampa",35631,4178,5542,1425,6296,2341,4656,11910
"North West Malekula",3411,230,433,100,553,227,291,837
"North East Malekula",3041,736,733,127,457,204,396,1751
"Central Malekula",696,118,88,48,150,28,120,371
"South West Malekula",2771,169,221,99,354,145,342,751
"South East Malekula",5495,624,809,239,950,302,768,1399
"South Malekula",2493,336,555,128,220,188,257,1191
"North Ambrym",3153,280,331,80,673,199,521,1007
"West Ambrym",2135,598,1091,151,495,297,491,867
"South East Ambrym",5648,640,579,283,1147,417,703,1877
"Paama",6788,447,702,170,1297,334,767,1859
"Shefa",106099,8661,16848,4397,19139,5811,11609,33187
"Port Vila",56973,4030,6364,2171,11118,2614,6717,15661
"Vermali",2953,230,563,153,608,282,271,887
"Vermaul",3927,289,755,205,716,292,0,764
"Varisu",4743,408,1343,199,850,0,0,1547
"South Epi",3718,515,548,275,411,224,462,1585
"North Tongoa",1330,180,375,62,195,68,194,663
"Tongariki",3122,218,511,64,531,185,354,1403
"Makimae",2242,240,339,59,373,118,299,922
"Nguna",4474,220,807,205,559,219,310,718
"Emau",2468,420,859,100,391,276,422,1128
"Malorua",848,88,176,74,98,46,53,298
"North Efate",1852,124,477,84,291,137,227,846
"Mele",1775,151,635,89,259,213,340,588
"Tanvasoko",529,89,77,27,166,62,61,314
"Ifira",5243,312,563,165,819,271,284,875
"Pango",2112,408,504,155,565,203,342,1816
"Erakor",2060,191,380,37,172,180,220,566
"Eratap",2623,199,877,181,537,293,630,1592
"Eton",3107,349,695,92,480,128,423,1014
"Tafea",32929,3355,5293,1777,6425,1986,3942,11944
"North Erromango",5138,618,679,302,1042,305,919,1239
"South Erromango",2813,153,247,138,425,146,215,727
"Aniwa",5148,610,1295,267,1498,487,518,2211
"North Tanna",812,122,96,54,262,61,155,438
"West Tanna",828,153,230,34,143,47,180,385
"Middle Bush Tanna",891,168,128,71,283,114,186,713
"South West Tanna",5674,413,608,207,430,319,564,1643
"Whitesands",3781,357,425,233,710,266,631,1475
"South Tanna",2026,192,306,103,324,136,175,489
"Futuna",3298,405,800,220,745,0,0,1552
"Aneityum",2520,164,479,148,563,105,399,1072
