"population_affected","water","tin_fish","rice","Region"
174659,7335678,1222613,978094,"National"
35631,1496502,249417,199536,"Malampa"
3411,143262,23877,19102,"North West Malekula"
3041,127722,21287,17030,"North East Malekula"
696,29232,4872,3898,"Central Malekula"
2771,116382,19397,15518,"South West Malekula"
5495,230790,38465,30772,"South East Malekula"
2493,104706,17451,13961,"South Malekula"
3153,132426,22071,17657,"North Ambrym"
2135,89670,14945,11956,"West Ambrym"
5648,237216,39536,31629,"South East Ambrym"
6788,285096,47516,38013,"Paama"
106099,4456158,742693,594154,"Shefa"
56973,2392866,398811,319049,"Port Vila"
2953,124026,20671,16537,"Vermali"
3927,164934,27489,21991,"Vermaul"
4743,199206,33201,26561,"Varisu"
3718,156156,26026,20821,"South Epi"
1330,55860,9310,7448,"North Tongoa"
3122,131124,21854,17483,"Tongariki"
2242,94164,15694,12555,"Makimae"
4474,187908,31318,25054,"Nguna"
2468,103656,17276,13821,"Emau"
848,35616,5936,4749,"Malorua"
1852,77784,12964,10371,"North Efate"
1775,74550,12425,9940,"Mele"
529,22218,3703,2962,"Tanvasoko"
5243,220206,36701,29361,"Ifira"
2112,88704,14784,11827,"Pango"
2060,86520,14420,11536,"Erakor"
2623,110166,18361,14689,"Eratap"
3107,130494,21749,17399,"Eton"
32929,1383018,230503,184404,"Tafea"
5138,215796,35966,28773,"North Erromango"
2813,118146,19691,15753,"South Erromango"
5148,216216,36036,28829,"Aniwa"
812,34104,5684,4547,"North Tanna"
828,34776,5796,4637,"West Tanna"
891,37422,6237,4990,"Middle Bush Tanna"
5674,238308,39718,31774,"South West Tanna"
3781,158802,26467,21174,"Whitesands"
2026,85092,14182,11346,"South Tanna"
3298,138516,23086,18469,"Futuna"
2520,105840,17640,14112,"Aneityum"
