"Region","total_facilities","facility_hospital","facility_health centre","facility_dispensary","facility_aidpost","total_professionals","prof_doctor","prof_nurse practitioner","prof_registered nurse","prof_midwife","prof_nurse aid","total_staff","staff_clinical medical services","staff_nonclinical medical services","staff_clinical nursing services","staff_nonclinical nursing services","staff_pharmacy services"
"National",338,6,40,98,194,1126,67,214,315,191,339,892,233,109,302,151,97
"Torba",23,0,0,2,21,57,0,3,7,28,19,38,6,4,18,6,4
"Torres",1,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0
"Ureparapara",3,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0
"Motalava",2,0,0,0,2,9,0,0,0,9,0,0,0,0,0,0,0
"West Vanualava",4,0,0,2,2,12,0,0,0,9,3,0,0,0,0,0,0
"East Vanualava",2,0,0,0,2,3,0,3,0,0,0,38,6,4,18,6,4
"Mota",0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0
"East Gaua",6,0,0,0,6,10,0,0,0,10,0,0,0,0,0,0,0
"West Gaua",4,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0
"Merelava",1,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0
"Sanma",47,2,0,14,31,186,0,28,67,41,50,274,59,22,123,44,26
"Luganville",2,2,0,0,0,23,0,0,23,0,0,274,59,22,123,44,26
"North West Santo",14,0,0,5,9,73,0,16,18,16,23,0,0,0,0,0,0
"Big Bay Coast",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Big Bay Inland",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Santo",4,0,0,1,3,10,0,0,4,0,6,0,0,0,0,0,0
"South Santo 1",3,0,0,1,2,8,0,4,2,0,2,0,0,0,0,0,0
"East Santo",8,0,0,0,8,24,0,0,8,10,6,0,0,0,0,0,0
"South East Santo",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Canal Fanafo",4,0,0,2,2,21,0,5,0,10,6,0,0,0,0,0,0
"West Malo",1,0,0,0,1,13,0,3,5,5,0,0,0,0,0,0,0
"East Malo",5,0,0,2,3,14,0,0,7,0,7,0,0,0,0,0,0
"Penama",73,0,23,9,41,205,42,36,41,44,42,53,19,10,14,7,3
"West Ambae",1,0,0,0,1,6,0,0,1,4,1,0,0,0,0,0,0
