"Region","total_facilities_damaged","facility_hospital_damaged","facility_health centre_damaged","facility_dispensary_damaged","facility_aidpost_damaged"
"National",46,0,4,17,25
"Malampa",16,0,0,6,10
"North West Malekula",0,0,0,0,0
"North East Malekula",3,0,0,1,2
"Central Malekula",0,0,0,0,0
"South West Malekula",0,0,0,0,0
"South East Malekula",4,0,0,2,2
"South Malekula",2,0,0,1,1
"North Ambrym",0,0,0,0,0
"West Ambrym",3,0,0,1,2
"South East Ambrym",3,0,0,0,3
"Paama",0,0,0,0,0
"Shefa",21,0,4,6,11
"Port Vila",6,0,0,3,3
"Vermali",0,0,0,0,0
"Vermaul",0,0,0,0,0
"Varisu",2,0,0,0,2
"North Tongoa",0,0,0,0,0
"Tongariki",3,0,0,1,2
"Makimae",0,0,0,0,0
"Nguna",0,0,0,0,0
"Emau",0,0,0,0,0
"Malorua",0,0,0,0,0
"North Efate",2,0,2,0,0
"Mele",2,0,2,0,0
"Tanvasoko",0,0,0,0,0
"Ifira",1,0,0,1,0
"Erakor",0,0,0,0,0
"Eratap",1,0,0,0,1
"Eton",2,0,0,0,2
"Tafea",9,0,0,5,4
"North Erromango",1,0,0,1,0
"South Erromango",0,0,0,0,0
"Aniwa",2,0,0,2,0
"North Tanna",0,0,0,0,0
"West Tanna",0,0,0,0,0
"Middle Bush Tanna",0,0,0,0,0
"South West Tanna",0,0,0,0,0
"Whitesands",2,0,0,0,2
"South Tanna",0,0,0,0,0
"Futuna",1,0,0,0,1
"Aneityum",0,0,0,0,0
