"medical_tent","emergency_health_kits","trauma_surgical_kits","essential_ncd_medicines","mosquito_nets","Region"
42,89,42,142,182,"National"
16,32,16,50,65,"Malampa"
1,1,1,2,2,"North West Malekula"
2,5,2,8,10,"North East Malekula"
0,0,0,0,0,"Central Malekula"
1,2,1,3,4,"South West Malekula"
4,7,4,10,14,"South East Malekula"
2,4,2,6,8,"South Malekula"
0,1,0,2,2,"North Ambrym"
2,5,2,8,10,"West Ambrym"
3,6,3,9,12,"South East Ambrym"
1,1,1,2,3,"Paama"
19,41,19,63,82,"Shefa"
6,13,6,19,25,"Port Vila"
0,1,0,2,2,"Vermali"
0,0,0,0,0,"Vermaul"
2,3,2,4,6,"Varisu"
0,0,0,0,0,"North Tongoa"
2,5,2,8,10,"Tongariki"
1,2,1,2,3,"Makimae"
0,1,0,2,2,"Nguna"
0,0,0,0,0,"Emau"
0,0,0,0,0,"Malorua"
2,4,2,7,9,"North Efate"
2,5,2,8,10,"Mele"
0,0,0,0,0,"Tanvasoko"
1,2,1,3,4,"Ifira"
0,0,0,1,1,"Erakor"
1,2,1,3,4,"Eratap"
2,3,2,4,6,"Eton"
7,16,7,29,35,"Tafea"
1,2,1,3,4,"North Erromango"
0,0,0,1,1,"South Erromango"
2,4,2,6,8,"Aniwa"
0,1,0,2,2,"North Tanna"
0,1,0,2,2,"West Tanna"
0,1,0,2,2,"Middle Bush Tanna"
1,1,1,2,2,"South West Tanna"
2,4,2,6,8,"Whitesands"
0,1,0,2,2,"South Tanna"
1,1,1,2,3,"Futuna"
0,0,0,1,1,"Aneityum"
