"Region","total_financial_damage","hospital_financial","health_centre_financial","dispensary_financial","aidpost_financial"
"National",464025000,1e+08,1.7e+08,132400000,61625000
"Malampa",74300000,0,0,48800000,25500000
"North West Malekula",3150000,0,0,2400000,750000
"North East Malekula",11750000,0,0,8e+06,3750000
"Central Malekula",0,0,0,0,0
"South West Malekula",5250000,0,0,4e+06,1250000
"South East Malekula",19750000,0,0,1.6e+07,3750000
"South Malekula",10500000,0,0,8e+06,2500000
"North Ambrym",1250000,0,0,0,1250000
"West Ambrym",11750000,0,0,8e+06,3750000
"South East Ambrym",7500000,0,0,0,7500000
"Paama",3400000,0,0,2400000,1e+06
"Shefa",340900000,1e+08,1.7e+08,44400000,26500000
"Port Vila",129600000,1e+08,0,21600000,8e+06
"Vermali",1250000,0,0,0,1250000
"Vermaul",0,0,0,0,0
"Varisu",3750000,0,0,0,3750000
"North Tongoa",8e+05,0,0,8e+05,0
"Tongariki",11750000,0,0,8e+06,3750000
"Makimae",3250000,0,0,2e+06,1250000
"Nguna",2900000,0,0,2400000,5e+05
"Emau",250000,0,0,0,250000
"Malorua",8e+05,0,0,8e+05,0
"North Efate",71250000,0,7e+07,0,1250000
"Mele",1e+08,0,1e+08,0,0
"Tanvasoko",0,0,0,0,0
"Ifira",8e+06,0,0,8e+06,0
"Erakor",1050000,0,0,8e+05,250000
"Eratap",2500000,0,0,0,2500000
"Eton",3750000,0,0,0,3750000
"Tafea",48825000,0,0,39200000,9625000
"North Erromango",8e+06,0,0,8e+06,0
"South Erromango",5e+05,0,0,0,5e+05
"Aniwa",1.6e+07,0,0,1.6e+07,0
"North Tanna",2625000,0,0,2e+06,625000
"West Tanna",1250000,0,0,0,1250000
"Middle Bush Tanna",2625000,0,0,2e+06,625000
"South West Tanna",3150000,0,0,2400000,750000
"Whitesands",7750000,0,0,4e+06,3750000
"South Tanna",2625000,0,0,2e+06,625000
"Futuna",2300000,0,0,8e+05,1500000
"Aneityum",2e+06,0,0,2e+06,0
