"Region","total_infrastructure","infra_airport","infra_wharf","infra_permanent bridge","infra_temporary bridge","infra_police stations","infra_fire hydrants","infra_main water valves"
"National",1596,29,62,143,96,158,634,474
"Torba",19,2,9,2,0,6,0,0
"Torres",1,0,1,0,0,0,0,0
"Ureparapara",1,0,1,0,0,0,0,0
"Motalava",2,1,1,0,0,0,0,0
"West Vanualava",7,0,1,0,0,6,0,0
"East Vanualava",3,0,1,2,0,0,0,0
"Mota",1,0,1,0,0,0,0,0
"East Gaua",2,1,1,0,0,0,0,0
"West Gaua",2,0,2,0,0,0,0,0
"Merelava",0,0,0,0,0,0,0,0
"Sanma",186,5,8,41,13,119,0,0
"Luganville",108,4,0,24,0,80,0,0
"North West Santo",3,1,2,0,0,0,0,0
"Big Bay Coast",0,0,0,0,0,0,0,0
"West Santo",1,0,1,0,0,0,0,0
"South Santo 1",3,0,0,3,0,0,0,0
"South Santo 2",37,0,1,4,13,19,0,0
"South East Santo",5,0,2,3,0,0,0,0
"Canal Fanafo",28,0,1,7,0,20,0,0
"West Malo",0,0,0,0,0,0,0,0
"East Malo",1,0,1,0,0,0,0,0
"Penama",81,3,11,5,62,0,0,0
"West Ambae",0,0,0,0,0,0,0,0
"North Ambae",1,0,1,0,0,0,0,0
"East Ambae",16,1,1,0,14,0,0,0
"South Ambae",47,0,4,0,43,0,0,0
"North Maewo",3,2,1,0,0,0,0,0
"South Maewo",1,0,1,0,0,0,0,0
"North Pentecost",0,0,0,0,0,0,0,0
"Central Pentecost 1",2,0,2,0,0,0,0,0
"Central Pentecost 2",3,0,1,2,0,0,0,0
"South Pentecost",8,0,0,3,5,0,0,0
"Malampa",30,3,11,9,0,7,0,0
"North West Malekula",11,0,1,3,0,7,0,0
"North East Malekula",5,0,0,5,0,0,0,0
"Central Malekula",1,0,0,1,0,0,0,0
"South West Malekula",0,0,0,0,0,0,0,0
"South East Malekula",3,0,3,0,0,0,0,0
"South Malekula",2,1,1,0,0,0,0,0
"North Ambrym",1,0,1,0,0,0,0,0
"West Ambrym",1,0,1,0,0,0,0,0
"South East Ambrym",3,1,2,0,0,0,0,0
"Paama",3,1,2,0,0,0,0,0
"Shefa",1236,11,17,73,16,11,634,474
"Port Vila",1061,10,11,54,0,0,574,412
"Vermali",1,0,1,0,0,0,0,0
"Vermaul",18,1,1,0,16,0,0,0
"Varisu",2,0,2,0,0,0,0,0
"South Epi",1,0,1,0,0,0,0,0
"North Tongoa",0,0,0,0,0,0,0,0
"Tongariki",9,0,0,0,0,9,0,0
"Makimae",0,0,0,0,0,0,0,0
"Malorua",3,0,0,1,0,2,0,0
"North Efate",5,0,0,5,0,0,0,0
"Mele",2,0,0,2,0,0,0,0
"Tanvasoko",10,0,0,1,0,0,4,5
"Ifira",1,0,1,0,0,0,0,0
"Pango",30,0,0,0,0,0,17,13
"Erakor",27,0,0,0,0,0,10,17
"Eratap",61,0,0,5,0,0,29,27
"Eton",5,0,0,5,0,0,0,0
"Tafea",44,5,6,13,5,15,0,0
"North Erromango",3,2,1,0,0,0,0,0
"South Erromango",1,0,1,0,0,0,0,0
"Aniwa",3,1,2,0,0,0,0,0
"West Tanna",11,0,0,2,5,4,0,0
"South West Tanna",8,0,0,8,0,0,0,0
"Whitesands",2,1,1,0,0,0,0,0
"South Tanna",3,0,0,3,0,0,0,0
"Futuna",2,1,1,0,0,0,0,0
"Aneityum",11,0,0,0,0,11,0,0
