"Region","total_road_km","road_asphalt","road_chips seal","road_concrete","road_earth","road_gravel"
"National",1150,103.5,149.5,46,529,322
"Torba",27,0,0,1.2,16.8,9
"Motalava",27,0,0,1.2,16.8,9
"Sanma",334.8,0,40.1,12.3,144.4,138
"Luganville",334.8,0,40.1,12.3,144.4,138
"Malampa",27.9,0,0,0,27.9,0
"Paama",27.9,0,0,0,27.9,0
"Shefa",648.7,103.5,109.4,30.2,274.2,131.4
"Port Vila",611.3,103.5,109.4,28.3,238.7,131.4
"Tongariki",18,0,0,0,18,0
"Nguna",19.4,0,0,1.9,17.5,0
"Tafea",111.6,0,0,2.3,65.7,43.6
"Aniwa",73.2,0,0,2.3,27.3,43.6
"Futuna",29.5,0,0,0,29.5,0
"Aneityum",8.9,0,0,0,8.9,0
