"Region","total_infrastructure_damaged","infra_airport_damaged","infra_wharf_damaged","infra_permanent bridge_damaged","infra_temporary bridge_damaged","infra_police stations_damaged","infra_fire hydrants_damaged","infra_main water valves_damaged"
"National",193,4,9,18,6,10,82,64
"Malampa",9,1,4,3,0,1,0,0
"North West Malekula",1,0,0,0,0,1,0,0
"North East Malekula",2,0,0,2,0,0,0,0
"Central Malekula",0,0,0,0,0,0,0,0
"South West Malekula",0,0,0,0,0,0,0,0
"South East Malekula",2,0,2,0,0,0,0,0
"South Malekula",0,0,0,0,0,0,0,0
"North Ambrym",0,0,0,0,0,0,0,0
"West Ambrym",0,0,0,0,0,0,0,0
"South East Ambrym",1,0,1,0,0,0,0,0
"Paama",0,0,0,0,0,0,0,0
"Shefa",172,1,4,12,4,5,82,64
"Port Vila",105,1,1,5,0,0,57,41
"Vermali",0,0,0,0,0,0,0,0
"Vermaul",4,0,0,0,4,0,0,0
"Varisu",1,0,1,0,0,0,0,0
"South Epi",0,0,0,0,0,0,0,0
"North Tongoa",0,0,0,0,0,0,0,0
"Tongariki",4,0,0,0,0,4,0,0
"Makimae",0,0,0,0,0,0,0,0
"Malorua",0,0,0,0,0,0,0,0
"North Efate",1,0,0,1,0,0,0,0
"Mele",0,0,0,0,0,0,0,0
"Tanvasoko",2,0,0,0,0,0,1,1
"Ifira",0,0,0,0,0,0,0,0
"Pango",14,0,0,0,0,0,8,6
"Erakor",3,0,0,0,0,0,1,2
"Eratap",30,0,0,2,0,0,14,14
"Eton",2,0,0,2,0,0,0,0
"Tafea",13,1,2,3,2,5,0,0
"North Erromango",0,0,0,0,0,0,0,0
"South Erromango",0,0,0,0,0,0,0,0
"Aniwa",1,0,1,0,0,0,0,0
"West Tanna",5,0,0,1,2,2,0,0
"South West Tanna",1,0,0,1,0,0,0,0
"Whitesands",0,0,0,0,0,0,0,0
"South Tanna",1,0,0,1,0,0,0,0
"Futuna",0,0,0,0,0,0,0,0
"Aneityum",3,0,0,0,0,3,0,0
