"truck","fibreglass_boat","ship","fuel","chainsaw","Region"
0,40,3,160000,0,"National"
0,10,1,40000,0,"Malampa"
0,1,0,4000,0,"North West Malekula"
0,1,0,4000,0,"North East Malekula"
0,1,0,4000,0,"Central Malekula"
0,1,0,4000,0,"South West Malekula"
0,1,0,4000,0,"South East Malekula"
0,1,0,4000,0,"South Malekula"
0,1,0,4000,0,"North Ambrym"
0,1,0,4000,0,"West Ambrym"
0,1,0,4000,0,"South East Ambrym"
0,1,0,4000,0,"Paama"
0,19,1,76000,0,"Shefa"
0,1,0,4000,0,"Port Vila"
0,1,0,4000,0,"Vermali"
0,1,0,4000,0,"Vermaul"
0,1,0,4000,0,"Varisu"
0,1,0,4000,0,"South Epi"
0,1,0,4000,0,"North Tongoa"
0,1,0,4000,0,"Tongariki"
0,1,0,4000,0,"Makimae"
0,1,0,4000,0,"Nguna"
0,1,0,4000,0,"Emau"
0,1,0,4000,0,"Malorua"
0,1,0,4000,0,"North Efate"
0,1,0,4000,0,"Mele"
0,1,0,4000,0,"Tanvasoko"
0,1,0,4000,0,"Ifira"
0,1,0,4000,0,"Pango"
0,1,0,4000,0,"Erakor"
0,1,0,4000,0,"Eratap"
0,1,0,4000,0,"Eton"
0,11,1,44000,0,"Tafea"
0,1,0,4000,0,"North Erromango"
0,1,0,4000,0,"South Erromango"
0,1,0,4000,0,"Aniwa"
0,1,0,4000,0,"North Tanna"
0,1,0,4000,0,"West Tanna"
0,1,0,4000,0,"Middle Bush Tanna"
0,1,0,4000,0,"South West Tanna"
0,1,0,4000,0,"Whitesands"
0,1,0,4000,0,"South Tanna"
0,1,0,4000,0,"Futuna"
0,1,0,4000,0,"Aneityum"
