"Region","total_infrastructure_financial","airport_financial","wharf_financial","permanent_bridge_financial","temporary_bridge_financial","police_stations_financial","fire_hydrants_financial","main_water_valves_financial"
"National",1289677500,2.22e+08,233750000,628250000,3.9e+07,121800000,28840000,16037500
"Malampa",277150000,6.6e+07,101250000,101500000,0,8400000,0,0
"North West Malekula",21400000,0,2500000,10500000,0,8400000,0,0
"North East Malekula",87500000,0,0,87500000,0,0,0,0
"Central Malekula",3500000,0,0,3500000,0,0,0,0
"South West Malekula",0,0,0,0,0,0,0,0
"South East Malekula",37500000,0,37500000,0,0,0,0,0
"South Malekula",42500000,3e+07,12500000,0,0,0,0,0
"North Ambrym",6250000,0,6250000,0,0,0,0,0
"West Ambrym",12500000,0,12500000,0,0,0,0,0
"South East Ambrym",5.5e+07,3e+07,2.5e+07,0,0,0,0,0
"Paama",1.1e+07,6e+06,5e+06,0,0,0,0,0
"Shefa",727777500,7.5e+07,9e+07,437500000,2.4e+07,56400000,28840000,16037500
"Port Vila",306890000,6e+07,27500000,1.89e+08,0,0,20090000,10300000
"Vermali",6250000,0,6250000,0,0,0,0,0
"Vermaul",45250000,1.5e+07,6250000,0,2.4e+07,0,0,0
"Varisu",2.5e+07,0,2.5e+07,0,0,0,0,0
"South Epi",12500000,0,12500000,0,0,0,0,0
"North Tongoa",0,0,0,0,0,0,0,0
"Tongariki",5.4e+07,0,0,0,0,5.4e+07,0,0
"Makimae",0,0,0,0,0,0,0,0
"Malorua",5900000,0,0,3500000,0,2400000,0,0
"North Efate",43750000,0,0,43750000,0,0,0,0
"Mele",17500000,0,0,17500000,0,0,0,0
"Tanvasoko",9412500,0,0,8750000,0,0,350000,312500
"Ifira",12500000,0,12500000,0,0,0,0,0
"Pango",4600000,0,0,0,0,0,2975000,1625000
"Erakor",775000,0,0,0,0,0,350000,425000
"Eratap",95950000,0,0,87500000,0,0,5075000,3375000
"Eton",87500000,0,0,87500000,0,0,0,0
"Tafea",284750000,8.1e+07,42500000,89250000,1.5e+07,5.7e+07,0,0
"North Erromango",36250000,3e+07,6250000,0,0,0,0,0
"South Erromango",2500000,0,2500000,0,0,0,0,0
"Aniwa",5.5e+07,3e+07,2.5e+07,0,0,0,0,0
"West Tanna",7.4e+07,0,0,3.5e+07,1.5e+07,2.4e+07,0,0
"South West Tanna",2.8e+07,0,0,2.8e+07,0,0,0,0
"Whitesands",21250000,1.5e+07,6250000,0,0,0,0,0
"South Tanna",26250000,0,0,26250000,0,0,0,0
"Futuna",8500000,6e+06,2500000,0,0,0,0,0
"Aneityum",3.3e+07,0,0,0,0,3.3e+07,0,0
