"Region","total_road_financial","asphalt_financial","chips_seal_financial","concrete_financial","earth_financial","gravel_financial"
"National",1442822500,465750000,306320000,229350000,196822500,244580000
"Malampa",9765000,0,0,0,9765000,0
"Paama",9765000,0,0,0,9765000,0
"Shefa",1151320000,465750000,306320000,166100000,121170000,91980000
"Port Vila",1103245000,465750000,306320000,155650000,83545000,91980000
"Tongariki",31500000,0,0,0,31500000,0
"Nguna",16575000,0,0,10450000,6125000,0
"Tafea",281737500,0,0,63250000,65887500,152600000
"Aniwa",263625000,0,0,63250000,47775000,152600000
"Futuna",10325000,0,0,0,10325000,0
"Aneityum",7787500,0,0,0,7787500,0
