"Region","total_households","roof_concrete","roof_metal","roof_wood","wall_concrete","wall_metal","wall_wood"
"National",64485,6241,51572,5056,17533,23936,21399
"Torba",6097,562,5682,135,1749,2265,1829
"Torres",397,35,475,0,141,190,42
"Ureparapara",775,107,650,67,407,0,265
"Motalava",555,55,417,0,136,212,161
"West Vanualava",587,0,390,0,126,276,136
"East Vanualava",513,23,1084,0,52,145,123
"Mota",610,0,870,0,307,447,231
"East Gaua",1207,184,569,68,205,283,280
"West Gaua",1221,130,893,0,298,643,489
"Merelava",232,28,334,0,77,69,102
"Sanma",11792,921,7722,670,2330,4074,2615
"Luganville",3299,38,732,97,173,379,319
"North West Santo",1866,232,1141,113,298,1032,267
"Big Bay Coast",361,25,247,0,88,128,72
"Big Bay Inland",557,76,660,0,250,609,258
"West Santo",680,72,455,72,250,228,270
"South Santo 1",483,62,421,61,128,169,102
"South Santo 2",554,64,334,58,140,272,76
"East Santo",1182,72,689,74,254,280,154
"South East Santo",737,54,334,83,145,196,301
"Canal Fanafo",1145,86,1547,112,254,289,518
"West Malo",271,49,522,0,129,158,82
"East Malo",657,91,640,0,221,334,196
"Penama",7710,936,6872,291,2178,3322,2933
"West Ambae",155,44,136,0,79,131,99
"North Ambae",724,92,378,74,135,274,210
"East Ambae",433,103,598,0,144,481,288
"South Ambae",1603,227,860,0,341,683,354
"North Maewo",1449,70,1286,0,340,269,750
"South Maewo",540,50,533,0,260,330,356
"North Pentecost",527,57,448,45,125,204,194
"Central Pentecost 1",1411,218,1961,90,453,567,476
"Central Pentecost 2",584,40,506,27,159,191,129
"South Pentecost",284,35,166,55,142,192,77
"Malampa",8007,856,8241,940,2407,3139,2753
"North West Malekula",348,60,523,0,207,226,179
"North East Malekula",849,87,1269,144,251,390,228
"Central Malekula",170,21,153,21,30,39,39
"South West Malekula",412,35,449,45,140,172,118
"South East Malekula",1079,170,1378,197,467,430,300
"South Malekula",836,72,479,90,148,342,181
"North Ambrym",1029,81,928,0,222,178,94
"West Ambrym",787,44,835,115,226,281,380
"South East Ambrym",842,115,767,212,432,368,367
"Paama",1655,171,1460,116,284,713,867
"Shefa",22557,2158,16413,2113,6681,7988,8735
"Port Vila",11736,1027,6933,1405,3551,3824,5359
"Vermali",981,49,415,50,240,303,164
"Vermaul",1096,95,676,60,219,272,236
"Varisu",845,137,1193,0,289,582,315
"South Epi",794,0,522,88,212,205,151
"North Tongoa",188,0,370,0,48,87,103
"Tongariki",641,105,807,0,205,284,302
"Makimae",379,48,301,0,85,223,128
"Nguna",748,81,680,0,283,213,332
"Emau",571,69,537,64,247,207,203
"Malorua",144,11,161,23,47,44,85
"North Efate",563,61,320,0,101,189,166
"Mele",442,100,302,47,121,100,291
"Tanvasoko",96,24,174,17,42,92,50
"Ifira",1030,108,932,123,351,484,219
"Pango",676,65,493,0,187,202,138
"Erakor",389,31,359,78,166,160,107
"Eratap",723,75,871,105,109,289,184
"Eton",515,72,367,53,178,228,202
"Tafea",8322,808,6642,907,2188,3148,2534
"North Erromango",1650,166,1263,115,290,447,355
"South Erromango",478,0,322,42,144,113,168
"Aniwa",1495,87,856,151,239,458,340
"North Tanna",197,23,146,25,80,50,91
"West Tanna",186,32,154,37,50,84,77
"Middle Bush Tanna",202,32,305,38,96,106,58
"South West Tanna",1185,113,882,96,322,346,213
"Whitesands",1573,107,881,134,492,426,494
"South Tanna",321,43,404,43,110,183,216
"Futuna",762,116,851,169,135,532,276
"Aneityum",273,89,578,57,230,403,246
