"Region","private_households_damaged","total_roof_damaged","roof_concrete_damaged","roof_metal_damaged","roof_wood_damaged","total_wall_damaged","wall_concrete_damaged","wall_metal_damaged","wall_wood_damaged"
"National",9611,10712,1003,8682,1027,9856,2872,3790,3194
"Malampa",2801,3757,308,3034,415,2994,941,1133,920
"North West Malekula",75,58,6,52,0,62,21,23,18
"North East Malekula",366,750,44,634,72,435,126,195,114
"Central Malekula",18,19,2,15,2,11,3,4,4
"South West Malekula",429,264,18,224,22,215,70,86,59
"South East Malekula",532,872,85,689,98,599,234,215,150
"South Malekula",232,321,36,240,45,335,74,171,90
"North Ambrym",217,252,20,232,0,124,56,44,24
"West Ambrym",205,498,22,418,58,443,113,140,190
"South East Ambrym",608,548,58,384,106,584,216,184,184
"Paama",119,175,17,146,12,186,28,71,87
"Shefa",4830,4924,496,4045,383,4919,1401,1884,1634
"Port Vila",1290,936,103,693,140,1273,355,382,536
"Vermali",115,128,12,104,12,177,60,76,41
"Vermaul",117,208,24,169,15,182,55,68,59
"Varisu",449,664,68,596,0,593,144,291,158
"South Epi",434,305,0,261,44,284,106,102,76
"North Tongoa",18,37,0,37,0,24,5,9,10
"Tongariki",450,456,52,404,0,395,102,142,151
"Makimae",88,87,12,75,0,109,21,56,32
"Nguna",99,76,8,68,0,82,28,21,33
"Emau",62,67,7,54,6,66,25,21,20
"Malorua",18,19,1,16,2,17,5,4,8
"North Efate",158,95,15,80,0,114,25,47,42
"Mele",66,113,25,76,12,128,30,25,73
"Tanvasoko",20,54,6,44,4,45,10,23,12
"Ifira",316,582,54,466,62,528,176,242,110
"Pango",318,278,32,246,0,264,94,101,69
"Erakor",36,47,3,36,8,44,17,16,11
"Eratap",390,526,38,436,52,290,54,144,92
"Eton",386,246,36,184,26,304,89,114,101
"Tafea",1980,2031,199,1603,229,1943,530,773,640
"North Erromango",435,387,42,316,29,273,72,112,89
"South Erromango",47,36,0,32,4,42,14,11,17
"Aniwa",618,548,44,428,76,519,120,229,170
"North Tanna",59,48,6,36,6,55,20,12,23
"West Tanna",120,111,16,77,18,105,25,42,38
"Middle Bush Tanna",46,94,8,76,10,64,24,26,14
"South West Tanna",133,109,11,88,10,88,32,35,21
"Whitesands",192,281,27,220,34,353,123,106,124
"South Tanna",160,123,11,101,11,128,28,46,54
"Futuna",54,114,12,85,17,95,14,53,28
"Aneityum",116,180,22,144,14,221,58,101,62
