"Region","private_households_damaged","tent","solar_lamp","kitchen_set","jerrycan_10l","sleeping_mat","blanket"
"National",9611,9611,19220,9611,19220,28830,28830
"Malampa",2801,2801,5601,2801,5601,8399,8399
"North West Malekula",75,75,151,75,151,226,226
"North East Malekula",366,366,733,366,733,1100,1100
"Central Malekula",18,18,35,18,35,53,53
"South West Malekula",429,429,858,429,858,1287,1287
"South East Malekula",532,532,1064,532,1064,1596,1596
"South Malekula",232,232,463,232,463,694,694
"North Ambrym",217,217,434,217,434,650,650
"West Ambrym",205,205,410,205,410,615,615
"South East Ambrym",608,608,1215,608,1215,1822,1822
"Paama",119,119,238,119,238,356,356
"Shefa",4830,4830,9657,4830,9657,14485,14485
"Port Vila",1290,1290,2581,1290,2581,3871,3871
"Vermali",115,115,230,115,230,346,346
"Vermaul",117,117,234,117,234,350,350
"Varisu",449,449,898,449,898,1347,1347
"South Epi",434,434,869,434,869,1304,1304
"North Tongoa",18,18,35,18,35,52,52
"Tongariki",450,450,899,450,899,1348,1348
"Makimae",88,88,176,88,176,265,265
"Nguna",99,99,197,99,197,296,296
"Emau",62,62,124,62,124,186,186
"Malorua",18,18,35,18,35,53,53
"North Efate",158,158,317,158,317,476,476
"Mele",66,66,132,66,132,197,197
"Tanvasoko",20,20,39,20,39,58,58
"Ifira",316,316,631,316,631,946,946
"Pango",318,318,636,318,636,954,954
"Erakor",36,36,72,36,72,108,108
"Eratap",390,390,779,390,779,1168,1168
"Eton",386,386,773,386,773,1160,1160
"Tafea",1980,1980,3962,1980,3962,5946,5946
"North Erromango",435,435,870,435,870,1306,1306
"South Erromango",47,47,94,47,94,141,141
"Aniwa",618,618,1235,618,1235,1852,1852
"North Tanna",59,59,118,59,118,176,176
"West Tanna",120,120,241,120,241,362,362
"Middle Bush Tanna",46,46,93,46,93,140,140
"South West Tanna",133,133,267,133,267,400,400
"Whitesands",192,192,384,192,384,577,577
"South Tanna",160,160,321,160,321,482,482
"Futuna",54,54,107,54,107,161,161
"Aneityum",116,116,232,116,232,349,349
