"Region","total_financial","private_households_financial","roof_concrete_financial","roof_metal_financial","roof_wood_financial","wall_concrete_financial","wall_metal_financial","wall_wood_financial","freezer_financial","refrigerator_financial","tv_financial"
"National",13248444250,13248444250,901350000,3907057500,256975000,4018560000,2655030000,1276540000,89808250,71607500,71516000
"Malampa",4299386000,4299386000,276255000,1365345000,103800000,1315440000,793660000,367600000,32176500,22967500,22142000
"North West Malekula",82438500,82438500,5400000,23535000,0,28980000,15820000,7160000,788500,435000,320000
"North East Malekula",712777500,712777500,39150000,285525000,1.8e+07,175700000,136500000,45600000,5367500,3675000,3260000
"Central Malekula",18361500,18361500,1890000,6885000,525000,4200000,2730000,1560000,237500,210000,124000
"South West Malekula",308685000,308685000,15750000,101025000,5625000,9.8e+07,60200000,23600000,1425000,1900000,1160000
"South East Malekula",964995000,964995000,76500000,310050000,24625000,326900000,150500000,6e+07,6175000,7025000,3220000
"South Malekula",419015000,419015000,32400000,107775000,11250000,103600000,119700000,36200000,3990000,1800000,2300000
"North Ambrym",244627500,244627500,18225000,104400000,0,77700000,31150000,9400000,1425000,937500,1390000
"West Ambrym",563322500,563322500,19800000,187875000,14375000,158200000,98350000,7.6e+07,3657500,2425000,2640000
"South East Ambrym",773042500,773042500,51750000,172575000,26500000,302400000,128800000,73400000,8027500,2850000,6740000
"Paama",212121000,212121000,15390000,65700000,2900000,39760000,49910000,34680000,1083000,1710000,988000
"Shefa",6416854000,6416854000,447435000,1819575000,96250000,1962380000,1319675000,653260000,47661500,34217500,36400000
"Port Vila",1448139000,1448139000,92430000,311985000,35125000,497140000,267680000,214360000,9595000,8780000,11044000
"Vermali",218191250,218191250,11025000,46687500,3125000,8.4e+07,53025000,16400000,1686250,1012500,1230000
"Vermaul",254890000,254890000,21375000,76050000,3750000,76650000,47600000,23600000,3372500,1062500,1430000
"Varisu",812917500,812917500,61650000,268425000,0,202300000,203700000,6.3e+07,6317500,4825000,2700000
"South Epi",386862500,386862500,0,117450000,1.1e+07,148400000,71750000,30200000,3087500,3375000,1600000
"North Tongoa",34147000,34147000,0,16650000,0,6720000,6090000,4120000,247000,180000,140000
"Tongariki",539542500,539542500,47250000,181575000,0,143500000,99400000,60400000,4417500,0,3e+06
"Makimae",128723750,128723750,10800000,33862500,0,29750000,39025000,12800000,926250,1e+06,560000
"Nguna",107982500,107982500,7290000,30600000,0,39620000,14910000,13280000,712500,970000,6e+05
"Emau",90419000,90419000,6210000,24165000,1600000,34580000,14490000,8120000,589000,325000,340000
"Malorua",22404000,22404000,990000,7245000,575000,6580000,3080000,3400000,190000,160000,184000
"North Efate",137136250,137136250,13725000,3.6e+07,0,35350000,33075000,16600000,1021250,675000,690000
"Mele",151096250,151096250,22500000,33975000,2937500,42350000,17500000,29100000,688750,1225000,820000
"Tanvasoko",63145000,63145000,5400000,19575000,1062500,14700000,16100000,5e+06,285000,512500,510000
"Ifira",744022500,744022500,48600000,209700000,15375000,245700000,169400000,43800000,3752500,2475000,5220000
"Pango",377077500,377077500,29250000,110925000,0,130900000,70700000,27600000,3182500,2600000,1920000
"Erakor",60722500,60722500,2790000,16155000,1950000,23240000,11200000,4280000,465500,290000,352000
"Eratap",465490000,465490000,33750000,195975000,13125000,76300000,101150000,36800000,3895000,2775000,1720000
"Eton",373945000,373945000,32400000,82575000,6625000,124600000,79800000,40400000,3230000,1975000,2340000
"Tafea",2532204250,2532204250,177660000,722137500,56925000,740740000,541695000,255680000,9970250,14422500,12974000
"North Erromango",409630000,409630000,37350000,142087500,7187500,101500000,78225000,35500000,2470000,2400000,2910000
"South Erromango",50605000,50605000,0,14490000,1050000,20160000,7910000,6720000,0,275000,0
"Aniwa",653575000,653575000,39150000,192600000,18875000,167300000,160300000,6.8e+07,0,3350000,4e+06
"North Tanna",71242500,71242500,5175000,16425000,1562500,2.8e+07,8750000,9100000,427500,1412500,390000
"West Tanna",136012500,136012500,14400000,34650000,4625000,3.5e+07,29400000,15400000,1187500,950000,4e+05
"Middle Bush Tanna",103452500,103452500,7200000,34312500,2375000,33600000,18550000,5800000,617500,487500,510000
"South West Tanna",132456000,132456000,10170000,39690000,2400000,45080000,24220000,8520000,874000,910000,592000
"Whitesands",432151250,432151250,24075000,99112500,8375000,172200000,74550000,49400000,1306250,1662500,1470000
"South Tanna",152437500,152437500,9675000,45450000,2687500,38500000,32025000,21600000,1045000,475000,980000
"Futuna",122787000,122787000,10440000,38295000,4225000,18900000,37240000,11040000,1235000,7e+05,712000
"Aneityum",267855000,267855000,20025000,65025000,3562500,80500000,70525000,24600000,807500,1800000,1010000
