"Region","total_towers","towers_digicel","towers_vodafone"
"National",409,226,183
"Torba",25,13,12
"Torres",1,0,1
"Motalava",4,2,2
"West Vanualava",6,4,2
"East Vanualava",4,2,2
"East Gaua",10,5,5
"Sanma",82,45,37
"Luganville",27,17,10
"North West Santo",5,0,5
"Big Bay Coast",3,2,1
"Big Bay Inland",2,0,2
"West Santo",6,3,3
"South Santo 1",6,6,0
"South Santo 2",4,0,4
"East Santo",6,4,2
"South East Santo",7,5,2
"Canal Fanafo",6,3,3
"West Malo",5,3,2
"East Malo",5,2,3
"Penama",43,25,18
"West Ambae",2,1,1
"North Ambae",4,2,2
"East Ambae",3,0,3
"South Ambae",3,0,3
"North Maewo",11,7,4
"North Pentecost",4,2,2
"Central Pentecost 1",12,12,0
"Central Pentecost 2",2,0,2
"South Pentecost",2,1,1
"Malampa",65,40,25
"North West Malekula",3,2,1
"North East Malekula",9,5,4
"Central Malekula",1,1,0
"South West Malekula",3,2,1
"South East Malekula",11,6,5
"South Malekula",7,4,3
"North Ambrym",5,3,2
"West Ambrym",5,3,2
"South East Ambrym",8,5,3
"Paama",13,9,4
"Shefa",143,77,66
"Port Vila",67,37,30
"Vermali",4,2,2
"Vermaul",4,3,1
"Varisu",7,4,3
"South Epi",6,0,6
"Tongariki",7,4,3
"Makimae",3,2,1
"Nguna",7,4,3
"Malorua",2,1,1
"North Efate",5,3,2
"Mele",3,2,1
"Tanvasoko",2,1,1
"Ifira",3,0,3
"Pango",5,2,3
"Erakor",4,3,1
"Eratap",7,3,4
"Eton",7,6,1
"Tafea",51,26,25
"North Erromango",11,6,5
"South Erromango",3,2,1
"North Tanna",2,1,1
"West Tanna",2,1,1
"Middle Bush Tanna",1,0,1
"South West Tanna",11,7,4
"Whitesands",8,6,2
"South Tanna",5,2,3
"Futuna",5,0,5
"Aneityum",3,1,2
