"Region","towers_digicel_damaged","towers_vodafone_damaged","total_towers_damaged"
"National",37.1,32,69.1
"Malampa",14.45,10,24.45
"North West Malekula",0.2,0.1,0.3
"North East Malekula",2.5,2,4.5
"Central Malekula",0.1,0,0.1
"South West Malekula",1,0.5,1.5
"South East Malekula",3,2.5,5.5
"South Malekula",2,1.5,3.5
"North Ambrym",0.75,0.5,1.25
"West Ambrym",1.5,1,2.5
"South East Ambrym",2.5,1.5,4
"Paama",0.9,0.4,1.3
"Shefa",17.25,17,34.25
"Port Vila",3.7,3,6.7
"Vermali",0.5,0.5,1
"Vermaul",0.75,0.25,1
"Varisu",2,1.5,3.5
"South Epi",0,3,3
"Tongariki",2,1.5,3.5
"Makimae",0.5,0.25,0.75
"Nguna",0.4,0.3,0.7
"Malorua",0.1,0.1,0.2
"North Efate",0.75,0.5,1.25
"Mele",0.5,0.25,0.75
"Tanvasoko",0.25,0.25,0.5
"Ifira",0,1.5,1.5
"Pango",1,1.5,2.5
"Erakor",0.3,0.1,0.4
"Eratap",1.5,2,3.5
"Eton",3,0.5,3.5
"Tafea",5.4,5,10.4
"North Erromango",1.5,1.25,2.75
"South Erromango",0.2,0.1,0.3
"North Tanna",0.25,0.25,0.5
"West Tanna",0.5,0.5,1
"Middle Bush Tanna",0,0.25,0.25
"South West Tanna",0.7,0.4,1.1
"Whitesands",1.5,0.5,2
"South Tanna",0.5,0.75,1.25
"Futuna",0,0.5,0.5
"Aneityum",0.25,0.5,0.75
