"Region","total_households","total_water","water_piped","water_well","water_tank","total_toilet","toilet_pit latrine","toilet_vip","toilet_flush","toilet_water sealed"
"National",64485,62008,35963,8682,17363,62238,32359,6242,11195,12442
"Torba",6097,4804,2426,667,1711,6233,3519,653,815,1246
"Torres",397,79,0,0,79,471,230,36,87,118
"Ureparapara",775,737,532,0,205,686,270,81,181,154
"Motalava",555,583,230,192,161,535,327,84,52,72
"West Vanualava",587,339,186,0,153,485,205,36,106,138
"East Vanualava",513,409,186,52,171,517,264,88,63,102
"Mota",610,356,0,105,251,597,287,98,0,212
"East Gaua",1207,952,583,119,250,1444,934,101,171,238
"West Gaua",1221,1196,709,149,338,1191,780,88,155,168
"Merelava",232,153,0,50,103,307,222,41,0,44
"Sanma",11792,11683,7364,1307,3012,11004,5144,1060,2328,2472
"Luganville",3299,4162,2609,547,1006,4577,2059,265,1249,1004
"North West Santo",1866,1141,755,0,386,990,503,121,0,366
"Big Bay Coast",361,227,138,41,48,293,145,14,74,60
"Big Bay Inland",557,790,618,0,172,761,417,148,196,0
"West Santo",680,646,360,72,214,679,326,74,131,148
"South Santo 1",483,498,309,44,145,375,167,40,88,80
"South Santo 2",554,623,439,68,116,567,284,84,74,125
"East Santo",1182,698,400,70,228,237,118,41,37,41
"South East Santo",737,590,242,123,225,655,353,66,118,118
"Canal Fanafo",1145,820,482,131,207,778,308,107,109,254
"West Malo",271,490,298,92,100,466,215,31,114,106
"East Malo",657,998,714,119,165,626,249,69,138,170
"Penama",7710,8156,4903,1144,2109,8126,4148,824,1569,1585
"West Ambae",155,277,174,34,69,187,50,20,44,73
"North Ambae",724,536,332,66,138,653,409,40,120,84
"East Ambae",433,593,398,61,134,974,587,62,172,153
"South Ambae",1603,1722,1012,234,476,942,502,178,0,262
"North Maewo",1449,970,603,178,189,1299,590,122,368,219
"South Maewo",540,648,374,107,167,743,353,50,170,170
"North Pentecost",527,393,215,75,103,588,333,52,121,82
"Central Pentecost 1",1411,2151,1243,272,636,2059,1047,227,408,377
"Central Pentecost 2",584,534,387,47,100,438,195,36,106,101
"South Pentecost",284,332,165,70,97,243,82,37,60,64
"Malampa",8007,7444,4221,1098,2125,7184,3525,714,1320,1625
"North West Malekula",348,593,362,91,140,562,310,48,111,93
"North East Malekula",849,856,427,117,312,874,515,79,157,123
"Central Malekula",170,166,84,32,50,160,48,15,39,58
"South West Malekula",412,352,239,49,64,305,151,35,49,70
"South East Malekula",1079,895,308,189,398,1420,806,98,183,333
"South Malekula",836,665,354,115,196,599,246,55,124,174
"North Ambrym",1029,832,542,147,143,540,212,47,183,98
"West Ambrym",787,776,498,98,180,680,357,67,83,173
"South East Ambrym",842,1280,721,152,407,1048,466,159,164,259
"Paama",1655,1029,686,108,235,996,414,111,227,244
"Shefa",22557,23126,12986,3781,6359,22315,12020,2240,3861,4194
"Port Vila",11736,12587,6952,2357,3278,12321,7081,1099,2113,2028
"Vermali",981,602,329,70,203,483,221,74,63,125
"Vermaul",1096,697,397,67,233,770,363,81,182,144
"Varisu",845,1269,729,200,340,1007,529,134,158,186
"South Epi",794,890,550,111,229,742,422,49,151,120
"North Tongoa",188,286,177,46,63,297,167,21,41,68
"Tongariki",641,765,417,121,227,456,254,67,0,135
"Makimae",379,411,222,43,146,317,135,50,49,83
"Nguna",748,727,362,112,253,654,335,63,114,142
"Emau",571,232,0,68,164,731,283,146,127,175
"Malorua",144,141,61,23,57,185,117,21,26,21
"North Efate",563,595,289,112,194,400,217,44,98,41
"Mele",442,375,201,60,114,535,369,36,81,49
"Tanvasoko",96,106,43,16,47,138,61,17,32,28
"Ifira",1030,1235,967,0,268,725,338,76,91,220
"Pango",676,603,352,99,152,566,265,77,80,144
"Erakor",389,470,317,74,79,364,146,52,75,91
"Eratap",723,516,295,69,152,967,371,64,258,274
"Eton",515,619,326,133,160,657,346,69,122,120
"Tafea",8322,6795,4063,685,2047,7376,4003,751,1302,1320
"North Erromango",1650,1213,895,0,318,1342,751,150,224,217
"South Erromango",478,328,270,0,58,286,163,0,123,0
"Aniwa",1495,552,0,217,335,1074,615,141,0,318
"North Tanna",197,222,115,31,76,165,66,26,38,35
"West Tanna",186,258,166,21,71,242,84,22,65,71
"Middle Bush Tanna",202,203,105,40,58,280,142,33,42,63
"South West Tanna",1185,894,575,104,215,1311,717,120,299,175
"Whitesands",1573,1180,695,145,340,1013,520,99,146,248
"South Tanna",321,590,369,62,159,466,231,62,83,90
"Futuna",762,911,614,0,297,743,489,60,194,0
"Aneityum",273,444,259,65,120,454,225,38,88,103
