"Region","total_water_damaged","water_piped_damaged","water_well_damaged","water_tank_damaged","total_toilet_damaged","toilet_pit_latrine_damaged","toilet_vip_damaged","toilet_flush_damaged","toilet_water_sealed_damaged"
"National",9471,5337,1360,2774,9271,4789,962,1519,2001
"Malampa",2800,1523,419,858,2773,1401,279,464,629
"North West Malekula",59,36,9,14,56,31,5,11,9
"North East Malekula",428,214,58,156,438,258,40,78,62
"Central Malekula",16,8,3,5,17,5,2,4,6
"South West Malekula",176,120,24,32,153,76,18,24,35
"South East Malekula",447,154,94,199,710,403,49,92,166
"South Malekula",333,177,58,98,300,123,28,62,87
"North Ambrym",209,136,37,36,135,53,12,46,24
"West Ambrym",388,249,49,90,340,178,34,42,86
"South East Ambrym",640,360,76,204,525,233,80,82,130
"Paama",104,69,11,24,99,41,11,23,24
"Shefa",5088,2975,727,1386,4675,2417,481,807,970
"Port Vila",1259,695,236,328,1232,708,110,211,203
"Vermali",151,82,18,51,120,55,18,16,31
"Vermaul",174,99,17,58,193,91,20,46,36
"Varisu",634,364,100,170,503,264,67,79,93
"South Epi",445,275,56,114,371,211,24,76,60
"North Tongoa",29,18,5,6,30,17,2,4,7
"Tongariki",382,208,60,114,229,127,34,0,68
"Makimae",103,56,11,36,79,34,12,12,21
"Nguna",72,36,11,25,65,34,6,11,14
"Emau",23,0,7,16,74,28,15,13,18
"Malorua",14,6,2,6,19,12,2,3,2
"North Efate",148,72,28,48,99,54,11,24,10
"Mele",93,50,15,28,133,92,9,20,12
"Tanvasoko",27,11,4,12,34,15,4,8,7
"Ifira",618,484,0,134,363,169,38,46,110
"Pango",302,176,50,76,282,132,38,40,72
"Erakor",47,32,7,8,37,15,5,8,9
"Eratap",258,148,34,76,484,186,32,129,137
"Eton",309,163,66,80,328,173,34,61,60
"Tafea",1583,839,214,530,1823,971,202,248,402
"North Erromango",304,224,0,80,336,188,38,56,54
"South Erromango",33,27,0,6,28,16,0,12,0
"Aniwa",276,0,108,168,537,308,70,0,159
"North Tanna",56,29,8,19,41,16,6,10,9
"West Tanna",129,83,10,36,121,42,11,32,36
"Middle Bush Tanna",50,26,10,14,70,36,8,10,16
"South West Tanna",90,58,10,22,132,72,12,30,18
"Whitesands",295,174,36,85,253,130,25,36,62
"South Tanna",148,92,16,40,117,58,16,21,22
"Futuna",91,61,0,30,74,49,6,19,0
"Aneityum",111,65,16,30,114,56,10,22,26
