"piped","well","tank","pit_latrine","Region"
5337,1360,2774,4789,"National"
1523,419,858,1401,"Malampa"
36,9,14,31,"North West Malekula"
214,58,156,258,"North East Malekula"
8,3,5,5,"Central Malekula"
120,24,32,76,"South West Malekula"
154,94,199,403,"South East Malekula"
177,58,98,123,"South Malekula"
136,37,36,53,"North Ambrym"
249,49,90,178,"West Ambrym"
360,76,204,233,"South East Ambrym"
69,11,24,41,"Paama"
2975,727,1386,2417,"Shefa"
695,236,328,708,"Port Vila"
82,18,51,55,"Vermali"
99,17,58,91,"Vermaul"
364,100,170,264,"Varisu"
275,56,114,211,"South Epi"
18,5,6,17,"North Tongoa"
208,60,114,127,"Tongariki"
56,11,36,34,"Makimae"
36,11,25,34,"Nguna"
0,7,16,28,"Emau"
6,2,6,12,"Malorua"
72,28,48,54,"North Efate"
50,15,28,92,"Mele"
11,4,12,15,"Tanvasoko"
484,0,134,169,"Ifira"
176,50,76,132,"Pango"
32,7,8,15,"Erakor"
148,34,76,186,"Eratap"
163,66,80,173,"Eton"
839,214,530,971,"Tafea"
224,0,80,188,"North Erromango"
27,0,6,16,"South Erromango"
0,108,168,308,"Aniwa"
29,8,19,16,"North Tanna"
83,10,36,42,"West Tanna"
26,10,14,36,"Middle Bush Tanna"
58,10,22,72,"South West Tanna"
174,36,85,130,"Whitesands"
92,16,40,58,"South Tanna"
61,0,30,49,"Futuna"
65,16,30,56,"Aneityum"
