"Region","total_financial","water_piped_financial","water_well_financial","water_tank_financial","toilet_pit_latrine_financial","toilet_vip_financial","toilet_flush_financial","toilet_water_sealed_financial"
"National",2610729250,1173865000,122535000,498987000,215448750,86476500,273357000,240060000
"Malampa",773746500,334884000,37786500,154215000,63031500,24808500,83421000,75600000
"North West Malekula",16244000,7964000,819000,2520000,1395000,432000,1998000,1116000
"North East Malekula",116967500,46970000,5265000,28080000,11587500,3555000,14130000,7380000
"Central Malekula",4785000,1848000,288000,9e+05,216000,135000,702000,696000
"South West Malekula",47837500,26290000,2205000,5760000,3397500,1575000,4410000,4200000
"South East Malekula",137200000,33880000,8505000,35820000,18135000,4410000,16470000,19980000
"South Malekula",91365000,38940000,5175000,17640000,5535000,2475000,11160000,10440000
"North Ambrym",54170000,29810000,3307500,6435000,2385000,1057500,8235000,2940000
"West Ambrym",104287500,54780000,4410000,16200000,8032500,3015000,7470000,10380000
"South East Ambrym",170720000,79310000,6840000,36630000,10485000,7155000,14760000,15540000
"Paama",30170000,15092000,972000,4230000,1863000,999000,4086000,2928000
"Shefa",1383381500,654533000,65385000,249777000,108760500,43533000,145053000,116340000
"Port Vila",337286500,152944000,21213000,59004000,31864500,9891000,38034000,24336000
"Vermali",39541250,18095000,1575000,9135000,2486250,1665000,2835000,3750000
"Vermaul",52243750,21835000,1507500,10485000,4083750,1822500,8190000,4320000
"Varisu",163102500,80190000,9e+06,30600000,11902500,6030000,14220000,11160000
"South Epi",118595000,60500000,4995000,20610000,9495000,2205000,13590000,7200000
"North Tongoa",7936500,3894000,414000,1134000,751500,189000,738000,816000
"Tongariki",88575000,45870000,5445000,20430000,5715000,3015000,0,8100000
"Makimae",27086250,12210000,967500,6570000,1518750,1125000,2205000,2490000
"Nguna",19356500,7964000,1008000,4554000,1507500,567000,2052000,1704000
"Emau",10537500,0,612000,2952000,1273500,1314000,2286000,2100000
"Malorua",4010500,1342000,207000,1026000,526500,189000,468000,252000
"North Efate",36216250,15895000,2520000,8730000,2441250,990000,4410000,1230000
"Mele",27611250,11055000,1350000,5130000,4151250,810000,3645000,1470000
"Tanvasoko",8188750,2365000,360000,2115000,686250,382500,1440000,840000
"Ifira",162905000,106370000,0,24120000,7605000,3420000,8190000,13200000
"Pango",82122500,38720000,4455000,13680000,5962500,3465000,7200000,8640000
"Erakor",12629000,6974000,666000,1422000,657000,468000,1350000,1092000
"Eratap",100122500,32450000,3105000,13680000,8347500,2880000,23220000,16440000
"Eton",85315000,35860000,5985000,14400000,7785000,3105000,10980000,7200000
"Tafea",453601250,184448000,19363500,94995000,43656750,18135000,44883000,48120000
"North Erromango",91948750,49225000,0,14310000,8448750,3375000,10080000,6510000
"South Erromango",9931500,5940000,0,1044000,733500,0,2214000,0
"Aniwa",79177500,0,9765000,30150000,13837500,6345000,0,19080000
"North Tanna",14530000,6325000,697500,3420000,742500,585000,1710000,1050000
"West Tanna",38585000,18260000,945000,6390000,1890000,990000,5850000,4260000
"Middle Bush Tanna",15405000,5775000,9e+05,2610000,1597500,742500,1890000,1890000
"South West Tanna",29244500,12650000,936000,3870000,3226500,1080000,5382000,2100000
"Whitesands",78875000,38225000,3262500,15300000,5850000,2227500,6570000,7440000
"South Tanna",39273750,20295000,1395000,7155000,2598750,1395000,3735000,2700000
"Futuna",25086500,13508000,0,5346000,2200500,540000,3492000,0
"Aneityum",31543750,14245000,1462500,5400000,2531250,855000,3960000,3090000
